scenario_id,design,method,seed,equal_budget_replications,policy_evaluation_budget,selected_idx,selected_alpha_on,selected_alpha_off,visited_policies,holdout_objective,exhaustive_holdout_objective,regret_vs_exhaustive,exact_match
F06,factorial,random_RS,4,896,44,2,4.0,4.0,44,0.6082965674374491,0.6140076408142524,0.0,0
F06,factorial,GP_BO,4,896,44,1,4.0,2.0,44,0.6140076408142524,0.6140076408142524,0.0,1
F07,factorial,diffusion_topk,0,1344,67,26,14.0,12.0,67,0.2932395929608961,0.2741426490206138,0.06966060920658246,0
F07,factorial,high_fidelity_local_search,0,1344,67,1,4.0,2.0,67,0.2741426490206138,0.2741426490206138,0.0,1
F07,factorial,MIGR_H,0,1344,67,2,4.0,4.0,48,0.2686085986336719,0.2741426490206138,0.0,0
F07,factorial,exhaustive,0,1344,67,1,4.0,2.0,190,0.2741426490206138,0.2741426490206138,0.0,1
F07,factorial,random_RS,0,1344,67,8,8.0,6.0,67,0.2691446904428654,0.2741426490206138,0.0,0
F07,factorial,GP_BO,0,1344,67,1,4.0,2.0,67,0.2741426490206138,0.2741426490206138,0.0,1
F07,factorial,random_RS,1,1344,67,1,4.0,2.0,67,0.2741426490206138,0.2741426490206138,0.0,1
F07,factorial,GP_BO,1,1344,67,1,4.0,2.0,67,0.2741426490206138,0.2741426490206138,0.0,1
F07,factorial,random_RS,2,1344,67,2,4.0,4.0,67,0.2686085986336719,0.2741426490206138,0.0,0
F07,factorial,GP_BO,2,1344,67,1,4.0,2.0,67,0.2741426490206138,0.2741426490206138,0.0,1
F07,factorial,random_RS,3,1344,67,1,4.0,2.0,67,0.2741426490206138,0.2741426490206138,0.0,1
F07,factorial,GP_BO,3,1344,67,1,4.0,2.0,67,0.2741426490206138,0.2741426490206138,0.0,1
F07,factorial,random_RS,4,1344,67,1,4.0,2.0,67,0.2741426490206138,0.2741426490206138,0.0,1
F07,factorial,GP_BO,4,1344,67,1,4.0,2.0,67,0.2741426490206138,0.2741426490206138,0.0,1
F09,factorial,diffusion_topk,0,1260,63,3,6.0,2.0,63,0.9069982471150898,0.9069982471150898,0.0,1
F09,factorial,high_fidelity_local_search,0,1260,63,3,6.0,2.0,63,0.9069982471150898,0.9069982471150898,0.0,1
F09,factorial,MIGR_H,0,1260,63,1,4.0,2.0,45,0.885933824805176,0.9069982471150898,0.0,0
F09,factorial,exhaustive,0,1260,63,3,6.0,2.0,190,0.9069982471150898,0.9069982471150898,0.0,1
F09,factorial,random_RS,0,1260,63,7,8.0,4.0,63,0.9071085076821837,0.9069982471150898,0.00012156646106489549,0
F09,factorial,GP_BO,0,1260,63,3,6.0,2.0,63,0.9069982471150898,0.9069982471150898,0.0,1
F09,factorial,random_RS,1,1260,63,6,8.0,2.0,63,0.8878371024569759,0.9069982471150898,0.0,0
F09,factorial,GP_BO,1,1260,63,3,6.0,2.0,63,0.9069982471150898,0.9069982471150898,0.0,1
F09,factorial,random_RS,2,1260,63,3,6.0,2.0,63,0.9069982471150898,0.9069982471150898,0.0,1
F09,factorial,GP_BO,2,1260,63,3,6.0,2.0,63,0.9069982471150898,0.9069982471150898,0.0,1
F09,factorial,random_RS,3,1260,63,7,8.0,4.0,63,0.9071085076821837,0.9069982471150898,0.00012156646106489549,0
F09,factorial,GP_BO,3,1260,63,3,6.0,2.0,63,0.9069982471150898,0.9069982471150898,0.0,1
F09,factorial,random_RS,4,1260,63,7,8.0,4.0,63,0.9071085076821837,0.9069982471150898,0.00012156646106489549,0
F09,factorial,GP_BO,4,1260,63,3,6.0,2.0,63,0.9069982471150898,0.9069982471150898,0.0,1
F10,factorial,diffusion_topk,0,1008,50,1,4.0,2.0,50,0.5952194973570939,0.5952194973570939,0.0,1
F10,factorial,high_fidelity_local_search,0,1008,50,1,4.0,2.0,50,0.5952194973570939,0.5952194973570939,0.0,1
F10,factorial,MIGR_H,0,1008,50,0,2.0,2.0,36,0.5772017225383533,0.5952194973570939,0.0,0
F10,factorial,exhaustive,0,1008,50,1,4.0,2.0,190,0.5952194973570939,0.5952194973570939,0.0,1
F10,factorial,random_RS,0,1008,50,0,2.0,2.0,50,0.5772017225383533,0.5952194973570939,0.0,0
F10,factorial,GP_BO,0,1008,50,1,4.0,2.0,50,0.5952194973570939,0.5952194973570939,0.0,1
F10,factorial,random_RS,1,1008,50,0,2.0,2.0,50,0.5772017225383533,0.5952194973570939,0.0,0
F10,factorial,GP_BO,1,1008,50,1,4.0,2.0,50,0.5952194973570939,0.5952194973570939,0.0,1
F10,factorial,random_RS,2,1008,50,2,4.0,4.0,50,0.5979644800062817,0.5952194973570939,0.0046117149410866,0
F10,factorial,GP_BO,2,1008,50,1,4.0,2.0,50,0.5952194973570939,0.5952194973570939,0.0,1
F10,factorial,random_RS,3,1008,50,1,4.0,2.0,50,0.5952194973570939,0.5952194973570939,0.0,1
F10,factorial,GP_BO,3,1008,50,1,4.0,2.0,50,0.5952194973570939,0.5952194973570939,0.0,1
F10,factorial,random_RS,4,1008,50,2,4.0,4.0,50,0.5979644800062817,0.5952194973570939,0.0046117149410866,0
F10,factorial,GP_BO,4,1008,50,1,4.0,2.0,50,0.5952194973570939,0.5952194973570939,0.0,1
F12,factorial,diffusion_topk,0,896,44,3,6.0,2.0,44,1.6460535900826123,1.6460535900826123,0.0,1
