scenario_id,method,seed,regret
R07,local_search,2,0.004612691595610331
R07,random_RS,3,0.004612691595610331
R07,local_search,3,0.004612691595610331
R07,random_RS,4,0.0004834383825595385
R07,local_search,4,0.004612691595610331
R08,diffusion_top20,0,0.0
R08,random_RS,0,0.0
R08,local_search,0,0.09275156235191874
R08,random_RS,1,0.021997721142126565
R08,local_search,1,0.09275156235191874
R08,random_RS,2,0.034491296719983536
R08,local_search,2,0.09275156235191874
R08,random_RS,3,0.021997721142126565
R08,local_search,3,0.09275156235191874
R08,random_RS,4,0.014748220612000994
R08,local_search,4,0.09275156235191874
R12,diffusion_top20,0,0.0
R12,random_RS,0,0.0
R12,local_search,0,0.10294564966570513
R12,random_RS,1,0.012560825799489835
R12,local_search,1,0.10294564966570513
R12,random_RS,2,0.0035249408390382276
R12,local_search,2,0.10294564966570513
R12,random_RS,3,0.012560825799489835
R12,local_search,3,0.10294564966570513
R12,random_RS,4,0.0
R12,local_search,4,0.10294564966570513
R13,diffusion_top20,0,0.0
R13,random_RS,0,0.0
R13,local_search,0,0.04765459289859785
R13,random_RS,1,0.0
R13,local_search,1,0.04765459289859785
R13,random_RS,2,0.005054965574424742
R13,local_search,2,0.04765459289859785
R13,random_RS,3,0.0
R13,local_search,3,0.04765459289859785
R13,random_RS,4,0.0063328892401093625
R13,local_search,4,0.04765459289859785
R17,diffusion_top20,0,0.0
R17,random_RS,0,0.0
R17,local_search,0,0.11078491288873898
R17,random_RS,1,0.011272884973327662
R17,local_search,1,0.11078491288873898
R17,random_RS,2,0.023018775370201774
R17,local_search,2,0.11078491288873898
R17,random_RS,3,0.011272884973327662
R17,local_search,3,0.11078491288873898
R17,random_RS,4,0.011650754853624667
R17,local_search,4,0.11078491288873898
R18,diffusion_top20,0,0.0
R18,random_RS,0,0.0
R18,local_search,0,0.02848145695292798
R18,random_RS,1,0.0
R18,local_search,1,0.02848145695292798
R18,random_RS,2,0.007187023040374258
R18,local_search,2,0.02848145695292798
R18,random_RS,3,0.0
R18,local_search,3,0.02848145695292798
R18,random_RS,4,0.0
R18,local_search,4,0.02848145695292798
R20,diffusion_top20,0,0.0
R20,random_RS,0,0.0
R20,local_search,0,0.23784285197137975
R20,random_RS,1,0.06216135315604553
R20,local_search,1,0.23784285197137975
R20,random_RS,2,0.07284445470763116
R20,local_search,2,0.23784285197137975
R20,random_RS,3,0.06216135315604553
R20,local_search,3,0.23784285197137975
R20,random_RS,4,0.03851257844661778
R20,local_search,4,0.23784285197137975
R22,diffusion_top20,0,0.0
R22,random_RS,0,0.0
R22,local_search,0,0.1490395838637335
R22,random_RS,1,0.021264854941826426
R22,local_search,1,0.1490395838637335
R22,random_RS,2,0.05095535851286176
R22,local_search,2,0.1490395838637335
R22,random_RS,3,0.021264854941826426
R22,local_search,3,0.1490395838637335
R22,random_RS,4,0.024521401972003715
R22,local_search,4,0.1490395838637335
R23,diffusion_top20,0,0.0
R23,random_RS,0,0.0
R23,local_search,0,0.31800003848724406
R23,random_RS,1,0.13260678518564128
R23,local_search,1,0.31800003848724406
R23,random_RS,2,0.10477953149903589
R23,local_search,2,0.31800003848724406
R23,random_RS,3,0.13260678518564128
R23,local_search,3,0.31800003848724406
R23,random_RS,4,0.09178572207871652
R23,local_search,4,0.31800003848724406
R24,diffusion_top20,0,0.0
R24,random_RS,0,0.0
R24,local_search,0,0.08614417232990781
R24,random_RS,1,0.027840756890833554
R24,local_search,1,0.08614417232990781
R24,random_RS,2,0.029057971254047125
R24,local_search,2,0.08614417232990781
R24,random_RS,3,0.027840756890833554
R24,local_search,3,0.08614417232990781
R24,random_RS,4,0.01703699607520429
R24,local_search,4,0.08614417232990781
V01,diffusion_top20,0,0.08090412188360036
V01,random_RS,0,0.0
V01,local_search,0,0.016415107546049454
V01,random_RS,1,0.0040862697318127346
V01,local_search,1,0.016415107546049454
V01,random_RS,2,0.0
V01,local_search,2,0.016415107546049454
V01,random_RS,3,0.001616454588365856
V01,local_search,3,0.016415107546049454
V01,random_RS,4,0.0
V01,local_search,4,0.016415107546049454
V02,diffusion_top20,0,0.0
V02,random_RS,0,0.0
V02,local_search,0,0.21691835003373505
V02,random_RS,1,0.06752143981672651
V02,local_search,1,0.21691835003373505
V02,random_RS,2,0.07566209083580301
V02,local_search,2,0.21691835003373505
V02,random_RS,3,0.06752143981672651
V02,local_search,3,0.21691835003373505
V02,random_RS,4,0.03427767832949221
V02,local_search,4,0.21691835003373505
V03,diffusion_top20,0,0.0
V03,random_RS,0,0.0
V03,local_search,0,0.14098931915896248
V03,random_RS,1,0.032856598933382705
V03,local_search,1,0.14098931915896248
V03,random_RS,2,0.034573860163753065
V03,local_search,2,0.14098931915896248
V03,random_RS,3,0.032856598933382705
V03,local_search,3,0.14098931915896248
V03,random_RS,4,0.01680784266269866
V03,local_search,4,0.14098931915896248
V04,diffusion_top20,0,0.0
V04,random_RS,0,0.0
V04,local_search,0,0.06570185590470796
V04,random_RS,1,0.007143661960206234
V04,local_search,1,0.06570185590470796
V04,random_RS,2,0.00021134836647430092
V04,local_search,2,0.06570185590470796
V04,random_RS,3,0.007143661960206234
V04,local_search,3,0.06570185590470796
V04,random_RS,4,0.0
V04,local_search,4,0.06570185590470796
V05,diffusion_top20,0,0.0
V05,random_RS,0,0.0
V05,local_search,0,0.0
V05,random_RS,1,0.008071115135733263
V05,local_search,1,0.0
V05,random_RS,2,0.0
V05,local_search,2,0.0
V05,random_RS,3,0.0
V05,local_search,3,0.0
V05,random_RS,4,0.0048635540467338485
V05,local_search,4,0.0
V06,diffusion_top20,0,0.0
V06,random_RS,0,0.0
V06,local_search,0,0.06772277324265079
V06,random_RS,1,0.0
V06,local_search,1,0.06772277324265079
V06,random_RS,2,0.0
V06,local_search,2,0.06772277324265079
V06,random_RS,3,0.0
V06,local_search,3,0.06772277324265079
V06,random_RS,4,0.0
V06,local_search,4,0.06772277324265079
V07,diffusion_top20,0,0.0
V07,random_RS,0,0.0
V07,local_search,0,0.05540135967596329
V07,random_RS,1,0.015158495722413816
V07,local_search,1,0.05540135967596329
V07,random_RS,2,0.01809873518281319
V07,local_search,2,0.05540135967596329
V07,random_RS,3,0.015158495722413816
V07,local_search,3,0.05540135967596329
V07,random_RS,4,0.006131903295514454
V07,local_search,4,0.05540135967596329
V08,diffusion_top20,0,0.0
V08,random_RS,0,0.0
V08,local_search,0,0.03407836459765165
V08,random_RS,1,0.01004092662668988
V08,local_search,1,0.03407836459765165
V08,random_RS,2,0.016219606962116197
V08,local_search,2,0.03407836459765165
V08,random_RS,3,0.01004092662668988
V08,local_search,3,0.03407836459765165
V08,random_RS,4,0.009204707158360607
V08,local_search,4,0.03407836459765165
V09,diffusion_top20,0,0.0
V09,random_RS,0,0.0
V09,local_search,0,0.07689203558347694
V09,random_RS,1,0.016391662204011698
V09,local_search,1,0.07689203558347694
V09,random_RS,2,0.020474811657116437
V09,local_search,2,0.07689203558347694
V09,random_RS,3,0.016391662204011698
V09,local_search,3,0.07689203558347694
V09,random_RS,4,0.0034150335051179115
V09,local_search,4,0.07689203558347694
V10,diffusion_top20,0,0.0
V10,random_RS,0,0.0
V10,local_search,0,0.0
V10,random_RS,1,0.04003371250670417
V10,local_search,1,0.0
V10,random_RS,2,0.05830305857745057
V10,local_search,2,0.0
V10,random_RS,3,0.04003371250670417
V10,local_search,3,0.0
V10,random_RS,4,0.023120886731996595
V10,local_search,4,0.0
V11,diffusion_top20,0,0.0
V11,random_RS,0,0.0
V11,local_search,0,0.09112567513115169
V11,random_RS,1,0.013614016371823483
V11,local_search,1,0.09112567513115169
V11,random_RS,2,0.008288390743868652
V11,local_search,2,0.09112567513115169
V11,random_RS,3,0.013614016371823483
V11,local_search,3,0.09112567513115169
V11,random_RS,4,0.0
V11,local_search,4,0.09112567513115169
V12,diffusion_top20,0,0.0
V12,random_RS,0,0.0
V12,local_search,0,0.015671211808614544
V12,random_RS,1,0.000269618689591433
V12,local_search,1,0.015671211808614544
V12,random_RS,2,0.0
V12,local_search,2,0.015671211808614544
V12,random_RS,3,0.006535218528906547
V12,local_search,3,0.015671211808614544
V12,random_RS,4,0.0
V12,local_search,4,0.015671211808614544
