method,budget_policies,median_regret,p90_regret,max_regret,mean_success_1,mean_success_5,mean_exact
GP_BO,12,0.0,0.0004220505613132,0.04294869646711975,0.9388888888888888,0.9888888888888889,0.5333333333333333
GP_BO,20,0.0,0.0013530722275303304,0.04294869646711975,0.9555555555555555,0.9888888888888889,0.7833333333333333
GP_BO,30,0.0,0.0,0.0,0.9833333333333333,0.9944444444444444,0.9277777777777777
GP_BO,44,0.0,0.0,0.0,0.9888888888888889,1.0,0.9611111111111111
diffusion_residual_GP,12,0.0,0.0,0.010665480692701462,0.9722222222222222,1.0,0.8611111111111112
diffusion_residual_GP,20,0.0,0.0,0.0034778710551162406,1.0,1.0,0.8888888888888888
diffusion_residual_GP,30,0.0,0.0,0.011422323464503854,0.9722222222222222,1.0,0.9166666666666666
diffusion_residual_GP,44,0.0,0.0,0.0,1.0,1.0,0.9722222222222222
