scenario_id,method,budget_policies,seed,selected_idx,regret,exact
F06,diffusion_residual_GP,12,4,1,0.0,1
F06,GP_BO,20,0,1,0.0,1
F06,diffusion_residual_GP,20,0,1,0.0,1
F06,GP_BO,20,1,1,0.0,1
F06,diffusion_residual_GP,20,1,1,0.0,1
F06,GP_BO,20,2,1,0.0,1
F06,diffusion_residual_GP,20,2,1,0.0,1
F06,GP_BO,20,3,1,0.0,1
F06,diffusion_residual_GP,20,3,1,0.0,1
F06,GP_BO,20,4,1,0.0,1
F06,diffusion_residual_GP,20,4,1,0.0,1
F06,GP_BO,30,0,1,0.0,1
F06,diffusion_residual_GP,30,0,1,0.0,1
F06,GP_BO,30,1,1,0.0,1
F06,diffusion_residual_GP,30,1,1,0.0,1
F06,GP_BO,30,2,1,0.0,1
F06,diffusion_residual_GP,30,2,1,0.0,1
F06,GP_BO,30,3,1,0.0,1
F06,diffusion_residual_GP,30,3,1,0.0,1
F06,GP_BO,30,4,1,0.0,1
F06,diffusion_residual_GP,30,4,1,0.0,1
F06,GP_BO,44,0,1,0.0,1
F06,diffusion_residual_GP,44,0,1,0.0,1
F06,GP_BO,44,1,1,0.0,1
F06,diffusion_residual_GP,44,1,1,0.0,1
F06,GP_BO,44,2,1,0.0,1
F06,diffusion_residual_GP,44,2,1,0.0,1
F06,GP_BO,44,3,1,0.0,1
F06,diffusion_residual_GP,44,3,1,0.0,1
F06,GP_BO,44,4,1,0.0,1
F06,diffusion_residual_GP,44,4,1,0.0,1
F07,GP_BO,12,0,6,0.0,0
F07,diffusion_residual_GP,12,0,0,0.0,0
F07,GP_BO,12,1,14,0.011422323464503854,0
F07,diffusion_residual_GP,12,1,0,0.0,0
F07,GP_BO,12,2,0,0.0,0
F07,diffusion_residual_GP,12,2,0,0.0,0
F07,GP_BO,12,3,14,0.011422323464503854,0
F07,diffusion_residual_GP,12,3,0,0.0,0
F07,GP_BO,12,4,0,0.0,0
F07,diffusion_residual_GP,12,4,0,0.0,0
F07,GP_BO,20,0,6,0.0,0
F07,diffusion_residual_GP,20,0,2,0.0,0
F07,GP_BO,20,1,14,0.011422323464503854,0
F07,diffusion_residual_GP,20,1,2,0.0,0
F07,GP_BO,20,2,14,0.011422323464503854,0
F07,diffusion_residual_GP,20,2,2,0.0,0
F07,GP_BO,20,3,14,0.011422323464503854,0
F07,diffusion_residual_GP,20,3,2,0.0,0
F07,GP_BO,20,4,14,0.011422323464503854,0
F07,diffusion_residual_GP,20,4,2,0.0,0
F07,GP_BO,30,0,1,0.0,1
F07,diffusion_residual_GP,30,0,14,0.011422323464503854,0
F07,GP_BO,30,1,1,0.0,1
F07,diffusion_residual_GP,30,1,14,0.011422323464503854,0
F07,GP_BO,30,2,1,0.0,1
F07,diffusion_residual_GP,30,2,14,0.011422323464503854,0
F07,GP_BO,30,3,1,0.0,1
F07,diffusion_residual_GP,30,3,14,0.011422323464503854,0
F07,GP_BO,30,4,1,0.0,1
F07,diffusion_residual_GP,30,4,14,0.011422323464503854,0
F07,GP_BO,44,0,1,0.0,1
F07,diffusion_residual_GP,44,0,1,0.0,1
