method,median_regret,p90_regret,max_regret,success1,success5
diffusion_top20,0.0,0.029224052525398215,0.09966038608924158,0.8611111111111112,0.9166666666666666
local_search,0.06671231457367938,0.22738060100255741,0.3402377709694908,0.1388888888888889,0.4444444444444444
random_RS,0.01065690580000877,0.06985920641103135,0.13260678518564128,0.5611111111111111,0.8722222222222222
