method,scenarios,median_regret,p90_regret,max_median_regret,mean_run_success_1pct,mean_run_success_5pct,mean_exact_match,median_policy_budget
GP_BO,36,0.0,0.0,0.00029444547132495276,1.0,1.0,0.9500000000000001,44.0
diffusion_topk,36,0.0,0.0,0.06966060920658246,0.9166666666666666,0.9722222222222222,0.9166666666666666,44.0
exhaustive,36,0.0,0.0,0.0,1.0,1.0,1.0,44.0
MIGR_H,36,0.0,0.002268036925719055,0.024521401972003715,0.9166666666666666,1.0,0.4722222222222222,44.0
random_RS,36,0.0012666327224003019,0.047417153690761736,0.1204158639347859,0.6388888888888888,0.8944444444444445,0.2444444444444444,44.0
high_fidelity_local_search,36,0.009128128525732351,0.08921592276387501,0.29371393082627056,0.5,0.7222222222222222,0.3888888888888889,44.0
