scenario_id,method,budget_policies,median_regret,p90_seed_regret,success_1,success_5,exact
F36,diffusion_residual_GP,12,0.0,0.0,1.0,1.0,1.0
F36,diffusion_residual_GP,20,0.0,0.0,1.0,1.0,1.0
F36,diffusion_residual_GP,30,0.0,0.0,1.0,1.0,1.0
F36,diffusion_residual_GP,44,0.0,0.0,1.0,1.0,1.0
R03,GP_BO,12,0.00029444547132495276,0.00029444547132495276,1.0,1.0,0.0
R03,GP_BO,20,0.00029444547132495276,0.00029444547132495276,1.0,1.0,0.0
R03,GP_BO,30,0.0,0.0,1.0,1.0,1.0
R03,GP_BO,44,0.0,0.0,1.0,1.0,1.0
R03,diffusion_residual_GP,12,0.0,0.0,1.0,1.0,1.0
R03,diffusion_residual_GP,20,0.0,0.0,1.0,1.0,1.0
R03,diffusion_residual_GP,30,0.0,0.0,1.0,1.0,1.0
R03,diffusion_residual_GP,44,0.0,0.0,1.0,1.0,1.0
R06,GP_BO,12,0.0,0.0,1.0,1.0,1.0
R06,GP_BO,20,0.0,0.0,1.0,1.0,1.0
R06,GP_BO,30,0.0,0.0,1.0,1.0,1.0
R06,GP_BO,44,0.0,0.0,1.0,1.0,1.0
R06,diffusion_residual_GP,12,0.0,0.0,1.0,1.0,1.0
R06,diffusion_residual_GP,20,0.0,0.0,1.0,1.0,1.0
R06,diffusion_residual_GP,30,0.0,0.0,1.0,1.0,1.0
R06,diffusion_residual_GP,44,0.0,0.0,1.0,1.0,1.0
R07,GP_BO,12,0.0005496556513014473,0.006774163010073922,1.0,1.0,0.2
R07,GP_BO,20,0.0026655642056135215,0.006260148322341874,1.0,1.0,0.2
R07,GP_BO,30,0.0,0.0020867226330697447,1.0,1.0,0.8
R07,GP_BO,44,0.0,0.0020867226330697447,1.0,1.0,0.8
R07,diffusion_residual_GP,12,0.0034778710551162406,0.0034778710551162406,1.0,1.0,0.0
R07,diffusion_residual_GP,20,0.0034778710551162406,0.0034778710551162406,1.0,1.0,0.0
R07,diffusion_residual_GP,30,0.0034778710551162406,0.0034778710551162406,1.0,1.0,0.0
R07,diffusion_residual_GP,44,0.0,0.0,1.0,1.0,1.0
R08,GP_BO,12,0.0,0.0,1.0,1.0,1.0
R08,GP_BO,20,0.0,0.0,1.0,1.0,1.0
R08,GP_BO,30,0.0,0.0,1.0,1.0,1.0
R08,GP_BO,44,0.0,0.0,1.0,1.0,1.0
R08,diffusion_residual_GP,12,0.0,0.0,1.0,1.0,1.0
R08,diffusion_residual_GP,20,0.0,0.0,1.0,1.0,1.0
R08,diffusion_residual_GP,30,0.0,0.0,1.0,1.0,1.0
R08,diffusion_residual_GP,44,0.0,0.0,1.0,1.0,1.0
R12,GP_BO,12,0.0,0.0,1.0,1.0,0.4
R12,GP_BO,20,0.0,0.0,1.0,1.0,0.8
R12,GP_BO,30,0.0,0.0,1.0,1.0,1.0
R12,GP_BO,44,0.0,0.0,1.0,1.0,1.0
R12,diffusion_residual_GP,12,0.0,0.0,1.0,1.0,1.0
R12,diffusion_residual_GP,20,0.0,0.0,1.0,1.0,1.0
R12,diffusion_residual_GP,30,0.0,0.0,1.0,1.0,1.0
R12,diffusion_residual_GP,44,0.0,0.0,1.0,1.0,1.0
R13,GP_BO,12,0.0,0.0063328892401093625,1.0,1.0,0.0
R13,GP_BO,20,0.0,0.0,1.0,1.0,1.0
