scenario_id,policy_idx,alpha_on,alpha_off,train_score,train_score_se,train_op_cost,train_W,train_B_H,train_B_L,train_cloud_fraction,diffusion_score,diffusion_W,diffusion_B_H,diffusion_B_L,diffusion_cloud_fraction,rho,qH,tau
BG01,0,2.0,2.0,1.2427950291529979,0.2926677324634904,0.5321014541888542,0.13607278555968086,0.0286559331911343,0.022843775877347313,0.5116905363549021,0.6137264659989161,0.11634920981168038,0.014964929356035382,0.01213703545078248,0.596274084527164,0.7,0.2,0.5
BG01,1,4.0,2.0,1.4706929960698558,0.4103615814951881,0.4900794867297868,0.15355107332853113,0.03788131024924174,0.028354808377099194,0.46704682573050715,0.5854695740436698,0.119995053703922,0.016284780907895712,0.013207757592113479,0.5674703159880815,0.7,0.2,0.5
BG01,2,4.0,4.0,1.3020490876314423,0.304981516260076,0.5397552056033271,0.12920184628053052,0.029475268321565884,0.019891191325689558,0.5203749286612475,0.5767735142075896,0.12084244579909281,0.016638123363069263,0.013494335690931778,0.5586471473377257,0.7,0.2,0.5
BG01,3,6.0,2.0,1.3163795086596497,0.3733239032283054,0.4691564532178157,0.14743882541611206,0.03427349373198695,0.02512851229029032,0.44704062940539885,0.5514448384748796,0.12453620803319586,0.018000236943530805,0.014599554506289945,0.5327644072699002,0.7,0.2,0.5
BG01,4,6.0,4.0,1.0761320864364323,0.21001138115267953,0.4948468003603057,0.14200266372483394,0.02751448713058308,0.025162682804564896,0.47354640080158067,0.5426151590336271,0.12532846984207885,0.01836535103844387,0.014895689674160011,0.5238158885573153,0.7,0.2,0.5
BG01,5,6.0,6.0,1.3776406860216286,0.34670644743242296,0.4552539474641481,0.16146581379884245,0.03299303087157938,0.03026208861144673,0.4310340753943216,0.5386626884468768,0.12580844884162085,0.018556091886602958,0.015050394940387339,0.5197914211206337,0.7,0.2,0.5
BG01,6,8.0,2.0,1.4791809503510163,0.24932235902537134,0.43551806342958505,0.1459328038677651,0.03824980519944476,0.03411335140071412,0.41362814284942034,0.5166851861618899,0.1296971417869704,0.020026647272087233,0.016243920344820882,0.49589825128948267,0.7,0.2,0.5
BG01,7,8.0,4.0,1.2560030864162826,0.2882824123938425,0.4788365862549196,0.1584017023849067,0.029086133089373998,0.025605912108704793,0.4550763308971835,0.5265575215832359,0.130428454588723,0.02040014790720369,0.016546872433792142,0.4869858580347428,0.7,0.2,0.5
BG01,8,8.0,6.0,1.3127058104998772,0.3782777449525972,0.43526044418101356,0.171828862437621,0.03143513909932166,0.030432983724169384,0.4094861148153705,0.5326108346819933,0.13089473609600055,0.020604978762900253,0.01671301388028746,0.48272768612258066,0.7,0.2,0.5
BG01,9,8.0,8.0,1.5845123590506311,0.34594255638657584,0.41048555942841697,0.17836866136386684,0.035757908676771324,0.03907135996754446,0.383730260223837,0.5397182278533912,0.13145382306144596,0.020816861770197207,0.016884875436900162,0.47915706588431395,0.7,0.2,0.5
BG01,10,10.0,2.0,1.8779754429495377,0.34447944439308775,0.44413223890741493,0.15294222962534768,0.04788199228597067,0.03230238028732852,0.4211909044636127,0.5944701193456737,0.13525892065883108,0.02228010417202739,0.018073036613261498,0.46017607264547955,0.7,0.2,0.5
BG01,11,10.0,4.0,1.4572288965355824,0.304183885674839,0.4604692959761653,0.16000480846473178,0.034921186408947445,0.026673824244095073,0.43646857470645567,0.604769087015135,0.13593102307760255,0.02265845181135086,0.018379942305737706,0.4514568429859515,0.7,0.2,0.5
BG01,12,10.0,6.0,1.5696834062797225,0.39432694744242347,0.4378411919257652,0.18643106313897354,0.03852662850024002,0.03547451121761264,0.40987653245491923,0.6112499428213862,0.13637789637870468,0.022874237330249406,0.01855498186560996,0.44708139185211027,0.7,0.2,0.5
BG01,13,10.0,8.0,1.6342212059756915,0.29558887321668104,0.40398250175938427,0.18179057403369772,0.04107586559463008,0.038896872063956485,0.37671391565432955,0.6189838424693503,0.13693150075354912,0.02310418952349436,0.01874151306240963,0.44323464118159994,0.7,0.2,0.5
BG01,14,10.0,10.0,1.5690541034859804,0.3319854746357281,0.44224570616448383,0.16351351721434054,0.03817743159623003,0.03072468877757062,0.41771867858233275,0.6286047018230609,0.13762604691247182,0.023359820521309603,0.018948874240317257,0.43996976872071003,0.7,0.2,0.5
BG01,15,12.0,2.0,2.0519295112256333,0.38556561506007503,0.42610991938522286,0.16409051778510184,0.052228661109338076,0.03494506259507372,0.4014963417174575,0.6840371453490948,0.14108930083136728,0.024701735204549696,0.020039528393308165,0.42778698999690495,0.7,0.2,0.5
BG01,16,12.0,4.0,1.3586789709376383,0.2797472422206015,0.4501777013174613,0.15308218594319034,0.03216320045889776,0.026779062830346968,0.42721537342598276,0.6947529889222965,0.14170867418110417,0.025082388173748655,0.02034833690343538,0.4193772791076982,0.7,0.2,0.5
BG01,17,12.0,6.0,2.409419479474361,0.43474842349839987,0.39760359539003454,0.1965638083266921,0.055098382600796435,0.0447443092006464,0.36811902414103065,0.7016285052936824,0.1421347286289984,0.025306385730269918,0.020530057151148397,0.4149890094858368,0.7,0.2,0.5
BG01,18,12.0,8.0,1.8213167011428695,0.2977040728984167,0.4246471823179203,0.16864075287805957,0.043389667071988096,0.03572493922976285,0.3993510693862114,0.7099136371309811,0.1426759444663913,0.025550422149817474,0.020728034127729705,0.41099113797014875,0.7,0.2,0.5
