scenario_id,rho,qH,tau,method,init_seed,selected_idx,reference_idx,same_policy_as_reference,replications,viol_cost,viol_B_H,viol_B_L,upper_cost,upper_B_H,upper_B_L,max_upper,certified,mean_cost_excess,median_cost_excess,p90_cost_excess,max_cost_excess,mean_delta_B_H,mean_delta_B_L
BG02,0.7,0.2,2.0,DR-BGS,0,10,10,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG02,0.7,0.2,2.0,DR-BGS,1,10,10,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG02,0.7,0.2,2.0,DR-BGS,2,10,10,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG02,0.7,0.2,2.0,DR-BGS,3,10,10,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG02,0.7,0.2,2.0,DR-BGS,4,10,10,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG02,0.7,0.2,2.0,Guarded-GP,0,20,10,0,150,61,64,62,0.49667830733890334,0.5167895614939798,0.5033978315009714,0.5167895614939798,0,0.11799544232805649,-0.09821528426172879,0.9733686180724119,6.2343050339521024,0.007992422138295806,0.007125531111163304
BG02,0.7,0.2,2.0,Guarded-GP,1,10,10,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG02,0.7,0.2,2.0,Guarded-GP,2,20,10,0,150,61,64,62,0.49667830733890334,0.5167895614939798,0.5033978315009714,0.5167895614939798,0,0.11799544232805649,-0.09821528426172879,0.9733686180724119,6.2343050339521024,0.007992422138295806,0.007125531111163304
BG02,0.7,0.2,2.0,Guarded-GP,3,10,10,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG02,0.7,0.2,2.0,Guarded-GP,4,10,10,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG03,0.7,0.5,0.5,DR-BGS,0,0,0,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG03,0.7,0.5,0.5,DR-BGS,1,0,0,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG03,0.7,0.5,0.5,DR-BGS,2,0,0,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG03,0.7,0.5,0.5,DR-BGS,3,0,0,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG03,0.7,0.5,0.5,DR-BGS,4,0,0,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG03,0.7,0.5,0.5,Guarded-GP,0,0,0,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
