scenario_id,rho,qH,tau,method,init_seed,selected_idx,selected_alpha_on,selected_alpha_off,exhaustive_train_idx,evaluated_policies,holdout_op_cost,holdout_B_H,holdout_B_L,holdout_cloud_fraction,holdout_excess,viol_H,viol_L,upper_H,upper_L,certified,cert_mean_B_H,cert_mean_B_L,cert_mean_W,cert_mean_cloud
BG01,0.7,0.2,0.5,DR-BGS,0,4,6.0,4.0,4,20,0.5130307678315335,0.11518474550033715,0.09584452218754322,0.47896750043169745,0.0,144,133,0.985181478885102,0.9325758603520913,0,0.12703067692797057,0.1102505299502037,0.22838473936549492,0.4540585961592679
BG01,0.7,0.2,0.5,DR-BGS,1,4,6.0,4.0,4,20,0.5130307678315335,0.11518474550033715,0.09584452218754322,0.47896750043169745,0.0,144,133,0.985181478885102,0.9325758603520913,0,0.12703067692797057,0.1102505299502037,0.22838473936549492,0.4540585961592679
BG01,0.7,0.2,0.5,DR-BGS,2,4,6.0,4.0,4,20,0.5130307678315335,0.11518474550033715,0.09584452218754322,0.47896750043169745,0.0,144,133,0.985181478885102,0.9325758603520913,0,0.12703067692797057,0.1102505299502037,0.22838473936549492,0.4540585961592679
BG01,0.7,0.2,0.5,DR-BGS,3,4,6.0,4.0,4,20,0.5130307678315335,0.11518474550033715,0.09584452218754322,0.47896750043169745,0.0,144,133,0.985181478885102,0.9325758603520913,0,0.12703067692797057,0.1102505299502037,0.22838473936549492,0.4540585961592679
BG01,0.7,0.2,0.5,DR-BGS,4,4,6.0,4.0,4,20,0.5130307678315335,0.11518474550033715,0.09584452218754322,0.47896750043169745,0.0,144,133,0.985181478885102,0.9325758603520913,0,0.12703067692797057,0.1102505299502037,0.22838473936549492,0.4540585961592679
BG01,0.7,0.2,0.5,Guarded-GP,0,0,2.0,2.0,4,20,0.5502932776624244,0.11332771917476489,0.09583391781636298,0.5179021873562697,0.07263211520118233,144,114,0.985181478885102,0.8258954526996672,0,0.10946886271461212,0.09009528190094315,0.2152011541307325,0.5252915844959295
BG01,0.7,0.2,0.5,Guarded-GP,1,0,2.0,2.0,4,20,0.5502932776624244,0.11332771917476489,0.09583391781636298,0.5179021873562697,0.07263211520118233,144,114,0.985181478885102,0.8258954526996672,0,0.10946886271461212,0.09009528190094315,0.2152011541307325,0.5252915844959295
BG01,0.7,0.2,0.5,Guarded-GP,2,0,2.0,2.0,4,20,0.5502932776624244,0.11332771917476489,0.09583391781636298,0.5179021873562697,0.07263211520118233,144,114,0.985181478885102,0.8258954526996672,0,0.10946886271461212,0.09009528190094315,0.2152011541307325,0.5252915844959295
BG01,0.7,0.2,0.5,Guarded-GP,3,19,12.0,10.0,4,20,0.46336163027591043,0.13057147660638654,0.11182511742996007,0.42818640392729296,0.0,149,137,0.99983122885689,0.9530447797605528,0,0.1361555688398835,0.1156172033777771,0.23247320207336297,0.42569164166885504
BG01,0.7,0.2,0.5,Guarded-GP,4,19,12.0,10.0,4,20,0.46336163027591043,0.13057147660638654,0.11182511742996007,0.42818640392729296,0.0,149,137,0.99983122885689,0.9530447797605528,0,0.1361555688398835,0.1156172033777771,0.23247320207336297,0.42569164166885504
BG02,0.7,0.2,2.0,DR-BGS,0,10,10.0,2.0,10,20,0.29423142980286937,0.1857034428739855,0.17535521343152938,0.25436048176956627,0.0,150,149,1.0,0.99983122885689,0,0.18678151706376628,0.17858727654869944,0.268053213096733,0.27580520401384356
BG02,0.7,0.2,2.0,DR-BGS,1,10,10.0,2.0,10,20,0.29423142980286937,0.1857034428739855,0.17535521343152938,0.25436048176956627,0.0,150,149,1.0,0.99983122885689,0,0.18678151706376628,0.17858727654869944,0.268053213096733,0.27580520401384356
BG02,0.7,0.2,2.0,DR-BGS,2,10,10.0,2.0,10,20,0.29423142980286937,0.1857034428739855,0.17535521343152938,0.25436048176956627,0.0,150,149,1.0,0.99983122885689,0,0.18678151706376628,0.17858727654869944,0.268053213096733,0.27580520401384356
BG02,0.7,0.2,2.0,DR-BGS,3,10,10.0,2.0,10,20,0.29423142980286937,0.1857034428739855,0.17535521343152938,0.25436048176956627,0.0,150,149,1.0,0.99983122885689,0,0.18678151706376628,0.17858727654869944,0.268053213096733,0.27580520401384356
BG02,0.7,0.2,2.0,DR-BGS,4,10,10.0,2.0,10,20,0.29423142980286937,0.1857034428739855,0.17535521343152938,0.25436048176956627,0.0,150,149,1.0,0.99983122885689,0,0.18678151706376628,0.17858727654869944,0.268053213096733,0.27580520401384356
