scenario_id,design,policy_idx,alpha_on,alpha_off,gap_fraction,diffusion_objective,train_objective,train_objective_ci95_hw,holdout_objective,holdout_objective_ci95_hw,holdout_W,holdout_B_H,holdout_B_L,holdout_cloud_fraction,holdout_activation_rate
T48,frozen_fresh59,0,3.9828931861469843,3.9828931861469843,0.0,0.8457562324238147,0.6387424793550374,0.014096903483855732,0.6390184570783348,0.013694557335251831,0.1972493335917238,0.028385177959784905,0.010241234629117874,0.6841994505543144,0.6887777777777776
T48,frozen_fresh59,1,7.965786372293969,3.9828931861469843,0.05,0.8612898228350772,0.6547950355701121,0.018416263347725736,0.6484621162012655,0.012519679978690829,0.19947100612385388,0.029251717223537557,0.010656164845023698,0.671371542036518,0.6647037037037037
T48,frozen_fresh59,2,7.965786372293969,7.965786372293969,0.0,0.9441317158953383,0.6493199752010665,0.017640934103056158,0.6545910420400606,0.012416444951278086,0.20151692677983116,0.029735526215042354,0.01113922093475968,0.6612222552996576,0.6840740740740743
T48,frozen_fresh59,3,11.948679558440952,3.9828931861469843,0.09999999999999999,0.879845571896299,0.66021765977866,0.020871923870299177,0.6488890676080226,0.011156807234757576,0.2013150847929099,0.029239942200577695,0.01107281710862428,0.6592661483405009,0.6364074074074074
T48,frozen_fresh59,4,11.948679558440952,7.965786372293969,0.049999999999999996,0.963707467323821,0.6707713566635984,0.021227726565436457,0.6630011195035319,0.012361516235797896,0.2043029310903056,0.0304355134284703,0.011643591039501697,0.6475877058942221,0.6537777777777778
T48,frozen_fresh59,5,11.948679558440952,11.948679558440952,0.0,0.9993294421987485,0.6672372984094628,0.015504638166781494,0.6793496708916813,0.011217989288573456,0.205436904829721,0.03206871301230389,0.011983508326393826,0.637415219640797,0.6702962962962964
T48,frozen_fresh59,6,15.931572744587937,3.9828931861469843,0.15,0.9009938198462042,0.6685531888716547,0.01720697030191361,0.6667448716875641,0.012726286386750527,0.20423430427448866,0.03090772790960167,0.011662577066022122,0.6426378474745295,0.6150740740740742
T48,frozen_fresh59,7,15.931572744587937,7.965786372293969,0.1,0.9859414677298916,0.6672395592933784,0.019253675071678092,0.6662892378752011,0.01149809895107849,0.2040624773057124,0.030981762255810376,0.01198202914981742,0.6332122160100621,0.6292222222222221
T48,frozen_fresh59,8,15.931572744587937,11.948679558440952,0.05000000000000001,1.0218650666359301,0.6829573320050459,0.022814909271354437,0.6741217089246343,0.013554645370098806,0.20545288894918504,0.031652362426615274,0.01267903548040788,0.6228367842389733,0.6465185185185184
T48,frozen_fresh59,9,15.931572744587937,15.931572744587937,0.0,1.0421428782043383,0.6892004792109517,0.013883070769924462,0.682309528585935,0.013624989358989202,0.20771095998726874,0.03236539081787225,0.01273915891477225,0.6158515457923481,0.6606296296296297
T48,frozen_fresh59,10,19.91446593073492,3.9828931861469843,0.19999999999999998,0.9212399944886682,0.678020345775584,0.019632091879885967,0.6866142706024384,0.01528414693459692,0.20759627906304065,0.03265244865034006,0.01255347178834278,0.6262611285382486,0.592851851851852
T48,frozen_fresh59,11,19.91446593073492,7.965786372293969,0.15,1.007167151421393,0.6897226277825987,0.01636052981564336,0.6907546761068184,0.0156121431437046,0.20871331957226355,0.0330839484630031,0.012810250833589474,0.6162625470558943,0.6065555555555555
T48,frozen_fresh59,12,19.91446593073492,11.948679558440952,0.09999999999999999,1.0433480368560535,0.6900288302633543,0.017688254733044705,0.6859244997676092,0.015087611887707497,0.20957307721104784,0.03257269020994041,0.013211905548614816,0.6080846423965851,0.620037037037037
T48,frozen_fresh59,13,19.91446593073492,15.931572744587937,0.04999999999999999,1.0638027690621308,0.6966904528221007,0.01938656056490514,0.6987595534239034,0.015417199070381311,0.2103843419241834,0.0338425901963181,0.013546208462269617,0.6002713981062904,0.6291111111111113
T48,frozen_fresh59,14,19.91446593073492,19.91446593073492,0.0,1.076662472199972,0.6969686448528527,0.02077156968979322,0.6984829801065661,0.010769151221563387,0.21137222515271106,0.03374888525748605,0.013689964983546889,0.5967199506734094,0.6447407407407407
T48,frozen_fresh59,15,23.897359116881905,3.9828931861469843,0.25,0.9491171644682356,0.6990518183591824,0.017686899371816816,0.6913033049806241,0.014741377540694222,0.20993580130687928,0.03305661745808844,0.013011602735836018,0.6115883468871277,0.5681111111111111
T48,frozen_fresh59,16,23.897359116881905,7.965786372293969,0.19999999999999998,1.0363197647671296,0.7016369165029902,0.021295079517866754,0.6944480023416154,0.013277065240554326,0.21199840375010479,0.033213760415621414,0.013535309095792659,0.6022877504272993,0.5843703703703703
T48,frozen_fresh59,17,23.897359116881905,11.948679558440952,0.15,1.0728214630967043,0.6964640764842063,0.020372606465966586,0.6984655931532884,0.013342090737794927,0.21232803901626934,0.03372396329093546,0.013555789447375313,0.5947107912598409,0.596925925925926
T48,frozen_fresh59,18,23.897359116881905,15.931572744587937,0.09999999999999999,1.0934812299372851,0.7116060613187788,0.011162896940367305,0.7036019975028982,0.014424824537272526,0.2125905747624355,0.03430115862757206,0.013584400215786772,0.5896969114643629,0.6057037037037037
T48,frozen_fresh59,19,23.897359116881905,19.91446593073492,0.05000000000000001,1.1065480054878336,0.7204233705136174,0.018695006691788498,0.7128401694491961,0.012850369409852708,0.21567924430451363,0.03488710128389268,0.014472973526458049,0.5797098267532258,0.6205925925925925
T48,frozen_fresh59,20,23.897359116881905,23.897359116881905,0.0,1.1207216864053968,0.7206264408960259,0.01731719420564919,0.718713966884998,0.013170085080435592,0.2155770032145892,0.03556471824438502,0.014569663759324293,0.5743223668549439,0.627962962962963
T48,frozen_fresh59,21,27.88025230302889,3.9828931861469843,0.3,0.9751647290699275,0.7179904402101409,0.01834451502010848,0.6929490115305443,0.011522242296808913,0.21099544801817605,0.03321884337369267,0.013458704753066125,0.6004502093963969,0.5462592592592593
T48,frozen_fresh59,22,27.88025230302889,7.965786372293969,0.25,1.0635028505588124,0.722562005603858,0.021272637915823015,0.705387150538554,0.011394099602569695,0.2139208331413201,0.034222025907398645,0.014321344271341135,0.5866142694863583,0.5618518518518519
T48,frozen_fresh59,23,27.88025230302889,11.948679558440952,0.2,1.1002822484918395,0.7024768521254907,0.020617162096140843,0.7123997694281817,0.013111565035724873,0.21411779181464483,0.03503433910400762,0.01437691954909831,0.5791348571451703,0.575888888888889
T48,frozen_fresh59,24,27.88025230302889,15.931572744587937,0.15,1.1211071315393568,0.713032605175113,0.020133447580378393,0.7128538101416516,0.01108868660901243,0.21610331641166164,0.03495766557954181,0.014668236063071905,0.5714143203242917,0.5851851851851853
T48,frozen_fresh59,25,27.88025230302889,19.91446593073492,0.10000000000000002,1.1343326096824242,0.7330390042228212,0.021798024672416656,0.7193988171665721,0.013339777413958396,0.2158807913664872,0.03570297943075411,0.014684954013239403,0.5676529147749192,0.5934074074074073
T48,frozen_fresh59,26,27.88025230302889,23.897359116881905,0.05000000000000001,1.148784407384594,0.7225363522443823,0.018844584571646634,0.7241535413273522,0.013556351725879155,0.21876483226175117,0.0358550507335047,0.015178011022705601,0.5630886002020552,0.6062962962962962
