scenario_id,design,policy_idx,alpha_on,alpha_off,gap_fraction,diffusion_objective,train_objective,train_objective_ci95_hw,holdout_objective,holdout_objective_ci95_hw,holdout_W,holdout_B_H,holdout_B_L,holdout_cloud_fraction,holdout_activation_rate,group
F01,factorial,0,2.0,2.0,0.0,0.1742046030186929,0.1717946773232511,0.0023046151097773,0.1718755204543068,0.0016824437813418,0.0365221354278361,0.0001388495136625,7.307225404536754e-05,0.5351288370189268,1.1897037037037037,development
F01,factorial,1,4.0,2.0,0.05,0.1421667704193647,0.1489873602179006,0.0023150858039085,0.1494016288924351,0.0015536594217843,0.0381554469792908,0.0001678754990081,8.124286023794321e-05,0.437457279089873,0.9526296296296296,development
F01,factorial,2,4.0,4.0,0.0,0.1385291621938912,0.1451820766693849,0.0024063482143982,0.1453491600268654,0.0016010089504396,0.0384145635512689,0.0002289451093138,9.99613007597448e-05,0.4175809685222329,0.9871851851851848,development
F01,factorial,3,6.0,2.0,0.1,0.1088006210488815,0.1276650021809247,0.0023716591231641,0.1276621474714548,0.0017626147728725,0.0400699694631082,0.0002576155400973,8.591363291993562e-05,0.3392049541002911,0.7148888888888888,development
F01,factorial,4,6.0,4.0,0.05,0.1055744679963207,0.1233695372171897,0.002795129675163,0.1229467867720085,0.0017595080148763,0.0400302797497431,0.0001973458502025,0.000103152982624,0.3227406642547187,0.7349629629629629,development
F01,factorial,5,6.0,6.0,0.0,0.1047268721550357,0.1197690574827637,0.0018597371024308,0.1209907866414527,0.0018421747456573,0.0404735584387222,0.0002618338648324,0.0001049818073807,0.3105457401438181,0.7483333333333334,development
F01,factorial,6,8.0,2.0,0.15,0.0841031628556568,0.1107802587861136,0.0023925089813506,0.1083180923164479,0.0017749861015915,0.0415759602614947,0.0002803035045955,0.0001225543110003,0.254530844925987,0.512962962962963,development
F01,factorial,7,8.0,4.0,0.1,0.0817238789437892,0.1062712265377449,0.0030524378399917,0.1034856469032783,0.0020158189537165,0.0420109443904808,0.0002349679510202,0.0001271379480332,0.2352287125300493,0.5257777777777778,development
F01,factorial,8,8.0,6.0,0.05,0.0809347112018609,0.1052980721157296,0.0022582598916183,0.1024629446695932,0.0017964853808708,0.0422616143027635,0.0002907632993957,0.000160689374234,0.2275678957491482,0.5333333333333333,development
F01,factorial,9,8.0,8.0,0.0,0.0804647655490375,0.1025105834511185,0.0023180346258419,0.1020120262427813,0.0015335147412942,0.0425824550364451,0.0003098985349561,0.0001336946345807,0.2239853970812925,0.5378518518518518,development
F01,factorial,10,10.0,2.0,0.2,0.0690448674197462,0.0958122300844929,0.0026464378657932,0.0950304823618773,0.0022904745539266,0.043664565018723,0.0003356493378557,0.000168305794733,0.1903546379110586,0.367962962962963,development
F01,factorial,11,10.0,4.0,0.15,0.0674344070019424,0.0929830818515404,0.0026049786368708,0.0916375593196649,0.0019222114528311,0.0437776645642527,0.0003288638027938,9.689360320624188e-05,0.1773160908778326,0.373111111111111,development
F01,factorial,12,10.0,6.0,0.1,0.0668178113524499,0.0924690387108286,0.0031619085126246,0.0900229874665902,0.0020611344805192,0.0438896870964912,0.0002938417880593,0.0001528583537934,0.1712509464200866,0.3755185185185185,development
F01,factorial,13,10.0,8.0,0.05,0.0663677851906994,0.0918472778920333,0.0035661200360724,0.0891663278786802,0.0018391380839613,0.0440638732740877,0.0003032145499018,0.0001367151073217,0.1669140853490787,0.379148148148148,development
F01,factorial,14,10.0,10.0,0.0,0.0660924535385618,0.0880606724910432,0.0020313280837737,0.0881561141817939,0.0015292385323039,0.0441291546455473,0.0003388559383293,0.000130022916403,0.1612533714477807,0.384074074074074,development
F01,factorial,15,12.0,2.0,0.25,0.0606799794087046,0.0877990519286149,0.0030581188101511,0.0857085458102773,0.0017938964907213,0.045211969554904,0.0004164531806963,0.0002018819470749,0.1433093583228899,0.2635185185185185,development
F01,factorial,16,12.0,4.0,0.2,0.0596068581495239,0.0836317382560136,0.0022518152185554,0.0837957628941588,0.0019295841188599,0.0459213056585951,0.0004270203803797,0.0002031816986895,0.132385196740171,0.2672962962962963,development
F01,factorial,17,12.0,6.0,0.15,0.0591549224870421,0.0841091524541073,0.0027987529228321,0.0824651543501437,0.0019164920727629,0.0453124156263083,0.0004360059177523,0.0001655240927593,0.1295154772576542,0.2681481481481481,development
F01,factorial,18,12.0,8.0,0.1,0.0587894022891675,0.0824528217154415,0.0026569565648168,0.0811457843085807,0.0018910982675356,0.045573070644289,0.0003708379900567,0.0001640479299517,0.1258168557553807,0.2702592592592592,development
F01,factorial,19,12.0,10.0,0.05,0.0585153086104495,0.0805740425490531,0.0029596620712117,0.0823727148226855,0.0025590624560519,0.0462781523821524,0.0004959524058583,0.0001973891388264,0.1225662621395339,0.2724814814814815,development
F01,factorial,20,12.0,12.0,0.0,0.0583713180614567,0.0816027369541841,0.0031547309582468,0.0798377620819681,0.0013848670693315,0.0463178109677297,0.000351560003678,0.0001367809159683,0.1186495951501487,0.2757777777777778,development
F01,factorial,21,14.0,2.0,0.3,0.0562986023604402,0.0804372689252524,0.0023015890066547,0.0785328307837974,0.0018687940665671,0.0467331178240057,0.0003607828248435,0.0001858362606308,0.1109091762391187,0.1905185185185185,development
F01,factorial,22,14.0,4.0,0.25,0.0555687240573945,0.0805999019563583,0.0033109471464685,0.0785167788737078,0.0021470340002396,0.047257387083904,0.0004976238011959,0.0002145791246321,0.1029868238650545,0.1914814814814814,development
F01,factorial,23,14.0,6.0,0.2,0.0552404237566327,0.0777429990161573,0.0025297290564349,0.0770137293033206,0.001883139075918,0.0470657508117929,0.0004362473097158,0.0001924741517041,0.1004172800604341,0.1934444444444444,development
F01,factorial,24,14.0,8.0,0.15,0.0549591997735125,0.0777984710373342,0.0028815672092318,0.0770700182613287,0.0020102377345774,0.0472768222102276,0.0005001929947254,0.0001973343135043,0.0971917212803421,0.1953333333333332,development
F01,factorial,25,14.0,10.0,0.1,0.0547278492945973,0.0768956767255399,0.0034685383978732,0.0763451522247928,0.0017255937237782,0.0474270373785657,0.0004869564037029,0.0002478592537536,0.0937156106992553,0.1963333333333333,development
