scenario_id,group,migr_h,local_only,static_half,fixed_deadband_05_04,diffusion_only,best_single_training,improvement_vs_local_only,improvement_vs_static_half,improvement_vs_fixed_deadband_05_04,improvement_vs_diffusion_only,improvement_vs_best_single_training
F01,development,0.0730783315976936,0.1712844575768881,0.0750328644314445,0.0753165827010928,0.0730783315976936,0.071584678874227,0.5733510638880391,0.026049023298806626,0.02971790571383328,0.0,-0.020865536410255126
F03,development,0.2244627436434211,0.3333588473288971,0.2503617475078966,0.2376959474326052,0.2312412096906076,0.2273342350941938,0.3266633075978853,0.10344632965009411,0.05567282039142112,0.029313399874770843,0.01263114396115009
F04,development,0.2653879721649586,0.5606008646179436,0.2999633083964942,0.2934410241181212,0.2627173607080879,0.2610606805479875,0.5266008511317161,0.1152652183240813,0.0956003068673526,-0.010165340614235553,-0.01657580761640459
F06,development,0.6092724498448099,0.7239534523993143,0.6492721378117207,0.6452083156034226,0.613393177565007,0.6046210140726169,0.15840935929572622,0.0616069682301847,0.05569653225098965,0.006717922322767281,-0.007693142752121258
F07,development,0.2686085986336719,0.7628532793666046,0.3454847837781561,0.3382887408294651,0.3121391547557334,0.270305672456089,0.6478895668421364,0.22251684807585675,0.20597830724410557,0.13945881334921473,0.006278350753785091
F09,development,0.885933824805176,1.1022046929429898,0.965598154095436,0.9612203516288748,0.921002454009044,0.8891659401674535,0.19621660978447691,0.0825025699897789,0.07832390012978702,0.03807658606252056,0.0036349968169820225
F10,development,0.5772017225383533,1.4437851195102391,0.8762978705539136,0.8467826187695373,0.6536948898658557,0.5707657593974786,0.6002163239262698,0.341317898931444,0.3183590336595629,0.11701662123012686,-0.01127601478348794
F12,development,1.6091158608048015,1.875134572454479,1.7543936799641686,1.7213893811257204,1.6013677113107447,1.6185031542501571,0.14186646417673865,0.08280799276610153,0.06522261700458291,-0.004838457425693187,0.005799984646742738
F27,development,3.141142373785035,4.811622729017571,3.611494230515855,3.504016744640286,3.1461536948709825,3.1584975076069823,0.347176087842118,0.13023746590995838,0.1035595424623186,0.0015928405195580284,0.005494743554537915
F28,development,0.6510362785975089,2.5143732199887756,1.1666001059833482,1.105927196456401,0.6510362785975089,0.6670595211230537,0.7410741279687925,0.4419370654447706,0.4113208530511306,0.0,0.0240207088245562
F31,development,0.7047855656231139,2.7108171738059306,1.2303277953094276,1.164640374443806,0.7047855656231139,0.7017832843262195,0.7400099230470752,0.4271562681830981,0.394847043698192,0.0,-0.004278074676254047
F36,development,3.53523589722779,4.336400058891086,3.929035833386952,3.846731633783305,3.53523589722779,3.5216808062994507,0.18475328631652393,0.10022813556772638,0.08097672679316999,0.0,-0.0038490401810670764
R03,development,2.3129856692012747,5.026005471310567,2.913424871179172,2.7240693054048912,2.3129856692012747,2.3049843756560144,0.5397964283158356,0.20609393704217163,0.15090792124413854,0.0,-0.0034713005562057326
R06,development,1.1374965977936264,1.6131956418030173,1.3522594282210152,1.3199048905585893,1.1374965977936264,1.141312180263623,0.2948799461655607,0.15881777264435357,0.13819805810990435,0.0,0.0033431540782428598
R07,development,0.7141029440485815,0.7170062355000795,0.7268740776435739,0.7297000081401851,0.7907216692734769,0.7180719779414938,0.004049185777963297,0.01756993953670028,0.02137462507552439,0.09689721200544989,0.005527348253151913
R08,development,1.7390147617059806,2.382205669409351,2.013120969114493,1.986391026341828,1.7316696625204528,1.7444276851838896,0.2699980593459189,0.13615982924716283,0.12453553271000216,-0.004241628380113157,0.0031029795754120917
R12,development,1.351102660155764,2.2096709491670627,1.703886438798771,1.646041358642968,1.351102660155764,1.3286581464605898,0.3885502904108581,0.2070465323332917,0.17918061228446763,0.0,-0.016892617378641908
R13,development,0.7968892438127718,1.0615262727527848,0.8894602453810954,0.8742628762408811,0.7832856453653961,0.7880478187983083,0.24929861439392123,0.10407547953833604,0.08850156461040316,-0.017367353184456383,-0.01121940167025113
R17,development,0.8078658984654957,1.3060840792147108,0.9715798178511392,0.9371720832830182,0.7985620478110408,0.80291820243909,0.38145950071512325,0.16850279964412246,0.13797485768520598,-0.011650754853624667,-0.00616214206051843
R18,development,1.9865239529904613,2.353551235820041,2.097730821305355,2.078640709645408,1.980189361830618,1.9790766894118783,0.1559461622265035,0.05301293530391721,0.04431586287495573,-0.003198982522553927,-0.003762998987571342
R20,development,1.4742590486500935,2.829806603178282,2.0192737759511,2.012883986006849,1.4742590486500935,1.4416653098170946,0.47902480438264317,0.26990630680790106,0.2675886643746804,0.0,-0.022608395035276303
R22,development,1.3704240996667354,2.087566759941503,1.6818186411414036,1.6436208538631576,1.33762369144162,1.338274981813353,0.343530407762798,0.1851534605796338,0.1662164078499625,-0.024521401972003715,-0.024022804199642547
R23,development,0.3262272621786774,0.9953945767224536,0.5490625589449251,0.5357161395174223,0.3262272621786774,0.3358257289960363,0.6722633719254837,0.40584682589620835,0.39104455118237474,0.0,0.028581689812909376
R24,development,0.8334905066721984,1.155128640357039,0.9851295823111176,0.9518314604496256,0.8334905066721984,0.8376669683972751,0.2784435624290516,0.15392805003700466,0.12432973556213978,0.0,0.0049858259697975115
