group,scenarios,certificate_rate,fallback_rate,mean_candidate_count,median_candidate_count,mean_work_reduction,median_work_reduction,minimum_work_reduction,median_regret,p90_regret,maximum_regret,within_1pct_fraction,within_5pct_fraction,exact_match_fraction,strict_hysteresis_selected_fraction,oracle_hysteresis_positive_fraction,oracle_hysteresis_gain_median,oracle_hysteresis_gain_p90,oracle_hysteresis_gain_max,median_distinct_weight_optima,max_distinct_weight_optima,median_robust_max_additive_regret
development,24,0.4166666666666667,0.5833333333333334,37.25,35.0,0.7677763272410791,0.75822454308094,0.6266318537859008,0.0,0.009428016911571208,0.024521401972003715,0.875,1.0,0.4166666666666667,0.5,0.4583333333333333,0.0,0.012493486981732135,0.028533716716410792,6.0,12,0.44413514582914393
fresh,12,0.5833333333333334,0.4166666666666667,35.666666666666664,34.5,0.7901871192341167,0.8180156657963447,0.6558746736292429,0.0,0.0,0.0,1.0,1.0,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.0,0.0013382545745699252,0.003759293275238674,6.0,8,0.4653849145106098
all,36,0.4722222222222222,0.5277777777777778,36.72222222222222,35.0,0.7752465912387584,0.75822454308094,0.6266318537859008,0.0,0.002268036925719055,0.024521401972003715,0.9166666666666666,1.0,0.4722222222222222,0.5555555555555556,0.4166666666666667,0.0,0.010335154973489653,0.028533716716410792,6.0,12,0.45053066943842013
