scenario_id,group,mass_error_321,residual_321,min_prob_321,objective_321,objective_641,objective_rel_change_321_641,W_rel_change,BH_abs_change,BL_abs_change,cloud_abs_change
F01,development,2.220446049250313e-16,1.5182625122400761e-13,1.1136454125711684e-08,0.051384413412330444,0.05082870371369401,0.01093298978794768,0.0047729978996732154,1.233590014458369e-05,5.552810253671832e-06,0.0008620506289795937
F03,development,0.0,2.34185067171655e-13,2.1173378527902806e-09,0.14162900220724997,0.1374056573813545,0.03073632415420892,0.011745127559544903,0.00027622831951249274,0.00023065528200055026,0.0009721457315179233
F04,development,0.0,4.020117572167692e-13,2.923870551934609e-06,0.24147018213921956,0.2401609764259856,0.005451367381650497,8.94451448772566e-05,4.771395205702047e-05,1.2925438256319258e-05,0.0032332437104771183
F06,development,0.0,5.684341886080802e-14,2.6218299348668797e-07,0.7692520344134374,0.7627556928637832,0.008516936170300497,0.003232594464799634,0.0004823174521631085,0.00042088581906599837,0.0003885146578119225
F07,development,0.0,9.614531393253856e-14,6.484128123239791e-11,0.136549455377786,0.1355137662969963,0.007642685382382963,0.000785706948805927,2.425692526621523e-06,1.0891727508137277e-06,0.003928847880014463
F09,development,2.220446049250313e-16,1.4210854715202004e-13,1.6273177397947963e-11,0.1495185703436542,0.14569956511735616,0.026211507379736983,0.011433278561979978,0.0002449854601783803,0.0002043744543554979,0.00103361934010264
F10,development,0.0,8.526512829121202e-14,3.180166935744331e-07,0.25282999234084147,0.25203128394923113,0.0031690843259411694,0.000507203409059348,1.5808145286164144e-05,3.891693167085153e-06,0.0026712006467384253
F12,development,0.0,1.539879335155092e-13,1.3764612546898056e-07,0.7538767397761648,0.748046274486412,0.00779425750600224,0.0028147652447618266,0.00041372350450959855,0.0003680618274885597,0.0012913311344864564
F27,development,2.220446049250313e-16,1.341149413747189e-13,5.698358194589394e-10,3.8396719594534074,3.826429420390582,0.0034608083954868127,0.0007594311166014693,0.0010104255457139555,0.0013143661518074945,0.0009433030515319518
F28,development,2.220446049250313e-16,1.971756091734278e-13,1.1910717409670898e-06,0.8146846372556917,0.8145928684339993,0.00011265605831892854,0.001994969349097163,2.32567049159374e-05,2.899582998366207e-05,0.001075088927108503
F31,development,0.0,8.526512829121202e-14,1.1208423890661775e-09,0.4913675744257089,0.49061908878078453,0.001525594217673807,0.0039003464802787936,8.224397387879973e-05,4.420048659798184e-06,0.0014682182922354237
F36,development,2.220446049250313e-16,1.936228954946273e-13,3.2515452164113407e-07,3.844372477199494,3.8406293599958743,0.0009746103705315035,0.001052350435088505,0.0002828322592669519,0.00045075990838541746,0.0011162904764864257
R03,development,0.0,4.263256414560601e-14,6.158531152289458e-07,3.0595099600446787,3.043611799316794,0.005223452193033763,0.002602732406075799,0.0014540221471840975,0.0003077872351119476,0.0007910421824701697
R06,development,0.0,3.979039320256561e-13,3.948679484832874e-06,1.0957942783140222,1.0892356619040022,0.0060213015781685,0.0004497258758558189,0.0005972794520817948,0.00015978947163827056,0.0008794544670440718
R07,development,0.0,1.3855583347321954e-13,0.00043953665860624254,1.4171215877771706,1.407987067673884,0.006487644888938967,0.0003786756289402276,0.0007492550536356418,0.0005299574957310371,0.00030670911766994546
R08,development,0.0,5.631051180898794e-13,3.3735702700030076e-07,1.3640100698265951,1.3619560703548572,0.0015081246131549095,0.0008482887860699976,0.00010181347054841888,1.9231681655920707e-05,0.0013117574025273138
R12,development,0.0,1.2789769243681803e-13,5.7746672683839896e-08,1.2329061648915451,1.227413058465492,0.004475352765857417,6.29069177237107e-05,0.000468196837198967,0.00036127966678008855,0.0002499988162428801
R13,development,2.220446049250313e-16,5.426770144367765e-13,7.116481528563319e-07,1.09185698317683,1.0879447647109708,0.003595971590431486,0.0015317960230761406,0.0003083162380939433,0.0002742592130708897,0.001663775958066105
R17,development,0.0,1.7053025658242404e-13,9.037323672467907e-08,0.9556086763574123,0.9525685565190429,0.003191497155311158,0.0013529164429830157,0.0002885224879272466,0.0002182163873399659,0.0010016372929279038
R18,development,0.0,4.831690603168681e-13,6.622698997698315e-06,2.352780279007558,2.3391587781954444,0.005823247630339159,0.00046294417328586186,0.0013070575122429706,9.286909460115046e-05,0.00017170445259528933
R20,development,0.0,1.7053025658242404e-13,2.3896633782569038e-09,1.1211970710289436,1.1208809755756162,0.0002820062613384262,0.0012811847497110462,5.0306400196098444e-05,4.1457778061283757e-05,5.297090776457125e-06
R22,development,0.0,2.1582735598713043e-13,7.016467051811153e-07,0.854565795822774,0.8529450508037953,0.0019001751841473662,0.000713184862607084,0.00010502711804563636,6.2857314619326615e-06,0.0015282813862221856
R23,development,0.0,8.526512829121202e-14,2.8449769679742315e-08,0.4155201824873803,0.41281968587939477,0.006541588738029555,0.0024383280510278365,0.0002225829612835864,0.00014678235223657132,0.0014952817976686683
R24,development,0.0,4.618527782440651e-13,7.89688749907955e-07,0.8882938876860136,0.8789333029015031,0.010649937547718001,0.004769622169705522,0.0007501152928649224,0.0003385721162968633,0.0021379514594570548
V01,fresh,0.0,8.821832153671494e-13,7.613078140223359e-05,0.8583180851951367,0.8546142842584901,0.0043338860640040715,0.0005245546397394013,0.00027225260538786544,0.00021037733980451903,0.0005107823169149261
V02,fresh,0.0,8.526512829121202e-14,1.1833940030517188e-07,0.8878846400248022,0.88522929382015,0.0029996140245124015,0.0009064609161553663,0.00026316004655579234,5.306824152001913e-07,0.0014117241646636192
V03,fresh,1.1102230246251565e-16,1.9895196601282805e-13,9.54739177324522e-07,0.6204083171437209,0.6180682323810982,0.003786126903186024,0.0004430414369353896,0.00020552421607596127,8.023890428810951e-05,0.0014570866694396667
V04,fresh,2.220446049250313e-16,1.2239098623467726e-12,1.7192966021839054e-06,1.2783835726749795,1.267206228559439,0.008820461787223784,0.0027355179658516784,0.0008774029640475217,0.000590816492693505,0.0013905551194819399
V05,fresh,0.0,1.821875983409882e-13,7.693466119534052e-08,0.6027700212833398,0.5990804853962659,0.00615866478213426,0.0017352682159077909,0.0003104055966613728,0.0002847183813160688,0.0015464770361732771
V06,fresh,1.1102230246251565e-16,6.084022174945858e-13,1.1088026275393975e-07,1.8866416821104075,1.8826258018099642,0.0021331271974400993,0.0021996034367245585,0.0003381415103880514,0.0004741503477211778,0.0018609468753110758
V07,fresh,0.0,1.4210854715202004e-13,1.080810579912071e-06,3.3664636204079854,3.3584842296436306,0.0023758904966487,0.0007650347989731738,0.0008343774513409064,2.2648918503937517e-06,4.316055174313771e-05
V08,fresh,2.220446049250313e-16,4.263256414560601e-13,5.4832724780770774e-06,1.6668909346972491,1.6580334967681258,0.005342134490279243,0.0018255570722612482,0.0007870352298234157,2.0050269391042215e-05,0.0005615241106694535
