scenario_id,seed,selected_idx,exhaustive_idx,holdout_objective,reference_objective,regret,exact
I01,0,0,0,0.9746788479859372,0.9746788479859372,0.0,1
I01,1,0,0,0.9746788479859372,0.9746788479859372,0.0,1
I01,2,0,0,0.9746788479859372,0.9746788479859372,0.0,1
I01,3,0,0,0.9746788479859372,0.9746788479859372,0.0,1
I01,4,0,0,0.9746788479859372,0.9746788479859372,0.0,1
I02,0,44,44,1.0298855754983736,1.0298855754983736,0.0,1
I02,1,44,44,1.0298855754983736,1.0298855754983736,0.0,1
I02,2,44,44,1.0298855754983736,1.0298855754983736,0.0,1
I02,3,44,44,1.0298855754983736,1.0298855754983736,0.0,1
I02,4,44,44,1.0298855754983736,1.0298855754983736,0.0,1
I03,0,34,34,0.9381917371676868,0.9381917371676868,0.0,1
I03,1,34,34,0.9381917371676868,0.9381917371676868,0.0,1
I03,2,34,34,0.9381917371676868,0.9381917371676868,0.0,1
I03,3,34,34,0.9381917371676868,0.9381917371676868,0.0,1
I03,4,34,34,0.9381917371676868,0.9381917371676868,0.0,1
I04,0,9,9,0.3258255250146354,0.3258255250146354,0.0,1
I04,1,9,9,0.3258255250146354,0.3258255250146354,0.0,1
I04,2,9,9,0.3258255250146354,0.3258255250146354,0.0,1
I04,3,9,9,0.3258255250146354,0.3258255250146354,0.0,1
I04,4,9,9,0.3258255250146354,0.3258255250146354,0.0,1
I05,0,0,0,1.4772127584790564,1.4772127584790564,0.0,1
I05,1,0,0,1.4772127584790564,1.4772127584790564,0.0,1
I05,2,0,0,1.4772127584790564,1.4772127584790564,0.0,1
I05,3,0,0,1.4772127584790564,1.4772127584790564,0.0,1
I05,4,0,0,1.4772127584790564,1.4772127584790564,0.0,1
I06,0,1,1,1.5297428545355525,1.5297428545355525,0.0,1
I06,1,1,1,1.5297428545355525,1.5297428545355525,0.0,1
I06,2,1,1,1.5297428545355525,1.5297428545355525,0.0,1
I06,3,1,1,1.5297428545355525,1.5297428545355525,0.0,1
I06,4,1,1,1.5297428545355525,1.5297428545355525,0.0,1
I07,0,0,0,1.5450541836016023,1.5450541836016023,0.0,1
I07,1,0,0,1.5450541836016023,1.5450541836016023,0.0,1
I07,2,0,0,1.5450541836016023,1.5450541836016023,0.0,1
I07,3,0,0,1.5450541836016023,1.5450541836016023,0.0,1
I07,4,0,0,1.5450541836016023,1.5450541836016023,0.0,1
I08,0,0,0,0.7524605402734661,0.7524605402734661,0.0,1
I08,1,0,0,0.7524605402734661,0.7524605402734661,0.0,1
I08,2,0,0,0.7524605402734661,0.7524605402734661,0.0,1
I08,3,0,0,0.7524605402734661,0.7524605402734661,0.0,1
I08,4,0,0,0.7524605402734661,0.7524605402734661,0.0,1
I09,0,0,0,0.6463298800121383,0.6463298800121383,0.0,1
I09,1,0,0,0.6463298800121383,0.6463298800121383,0.0,1
I09,2,0,0,0.6463298800121383,0.6463298800121383,0.0,1
I09,3,0,0,0.6463298800121383,0.6463298800121383,0.0,1
I09,4,0,0,0.6463298800121383,0.6463298800121383,0.0,1
I10,0,15,15,2.536236567748339,2.536236567748339,0.0,1
I10,1,15,15,2.536236567748339,2.536236567748339,0.0,1
I10,2,15,15,2.536236567748339,2.536236567748339,0.0,1
I10,3,15,15,2.536236567748339,2.536236567748339,0.0,1
I10,4,15,15,2.536236567748339,2.536236567748339,0.0,1
I11,0,0,0,1.1023071614572222,1.1023071614572222,0.0,1
I11,1,0,0,1.1023071614572222,1.1023071614572222,0.0,1
I11,2,0,0,1.1023071614572222,1.1023071614572222,0.0,1
I11,3,0,0,1.1023071614572222,1.1023071614572222,0.0,1
I11,4,0,0,1.1023071614572222,1.1023071614572222,0.0,1
I12,0,1,1,0.4817542864528236,0.4817542864528236,0.0,1
I12,1,1,1,0.4817542864528236,0.4817542864528236,0.0,1
I12,2,1,1,0.4817542864528236,0.4817542864528236,0.0,1
I12,3,1,1,0.4817542864528236,0.4817542864528236,0.0,1
I12,4,1,1,0.4817542864528236,0.4817542864528236,0.0,1
I13,0,0,0,0.9867434357848864,0.9867434357848864,0.0,1
I13,1,0,0,0.9867434357848864,0.9867434357848864,0.0,1
I13,2,0,0,0.9867434357848864,0.9867434357848864,0.0,1
I13,3,0,0,0.9867434357848864,0.9867434357848864,0.0,1
I13,4,0,0,0.9867434357848864,0.9867434357848864,0.0,1
I14,0,1,1,0.8221269523724165,0.8221269523724165,0.0,1
I14,1,1,1,0.8221269523724165,0.8221269523724165,0.0,1
I14,2,1,1,0.8221269523724165,0.8221269523724165,0.0,1
I14,3,1,1,0.8221269523724165,0.8221269523724165,0.0,1
