scenario_id,dr_bgs,local_only,improvement_vs_local_only,static_half,improvement_vs_static_half,fixed_deadband_05_04,improvement_vs_fixed_deadband_05_04,best_single_training,improvement_vs_best_single_training
F01,0.0743613345570827,0.1712844575768881,0.5658605829796172,0.0750328644314445,0.008949809919296819,0.0753165827010928,0.012683105230639216,0.071584678874227,-0.038788407331326304
F03,0.2312412096906076,0.3333588473288971,0.3063294658489703,0.2503617475078966,0.07637164226410388,0.2376959474326052,0.027155438751549292,0.2273342350941938,-0.017186037091135864
F04,0.2607186871484674,0.5606008646179436,0.5349299232241633,0.2999633083964942,0.1308314055402833,0.2934410241181212,0.11151248216909773,0.2610606805479875,0.0013100149697081796
F06,0.6140076408142524,0.7239534523993143,0.1518686197581921,0.6492721378117207,0.05431389234770218,0.6452083156034226,0.04835752118289144,0.6046210140726169,-0.015524810622126541
F07,0.2686085986336719,0.7628532793666046,0.6478895668421364,0.3454847837781561,0.22251684807585675,0.3382887408294651,0.20597830724410557,0.270305672456089,0.006278350753785091
F09,0.9069982471150898,1.1022046929429898,0.17710543883339902,0.965598154095436,0.06068767502485763,0.9612203516288748,0.056409650942055786,0.8891659401674535,-0.020055094490324235
F10,0.5952194973570939,1.4437851195102391,0.5877367834633146,0.8762978705539136,0.3207566543772932,0.8467826187695373,0.29708111129865966,0.5707657593974786,-0.04284373678166945
F12,1.6460535900826123,1.875134572454479,0.12216775571046536,1.7543936799641686,0.0617535796662064,1.7213893811257204,0.043764526416354116,1.6185031542501571,-0.017022169997079277
F27,3.1461536948709825,4.811622729017571,0.34613458451399426,3.611494230515855,0.12884986267260476,3.504016744640286,0.10212937775388421,3.1584975076069823,0.003908128059709012
F28,0.6510362785975089,2.514373219988776,0.7410741279687925,1.1666001059833482,0.4419370654447706,1.105927196456401,0.4113208530511306,0.6670595211230537,0.0240207088245562
F31,0.7047855656231139,2.7108171738059306,0.7400099230470752,1.2303277953094276,0.4271562681830981,1.164640374443806,0.394847043698192,0.7017832843262195,-0.004278074676254047
F36,3.53523589722779,4.336400058891086,0.18475328631652393,3.929035833386952,0.10022813556772638,3.846731633783305,0.08097672679316999,3.5216808062994507,-0.0038490401810670764
R03,2.312304821518256,5.026005471310567,0.5399318932863586,2.913424871179172,0.20632763027715226,2.7240693054048912,0.1511578589684351,2.3049843756560144,-0.0031759199496343192
R06,1.1374965977936264,1.613195641803017,0.2948799461655606,1.3522594282210152,0.15881777264435357,1.3199048905585893,0.13819805810990435,1.141312180263623,0.0033431540782428598
R07,0.7165865020080614,0.7170062355000795,0.0005853972688610239,0.7268740776435739,0.014153174465738872,0.7297000081401851,0.017971092210272276,0.7180719779414938,0.002068700602536857
R08,1.7316696625204528,2.382205669409351,0.2730813780030141,2.013120969114493,0.1398084421711833,1.986391026341828,0.12823324332595,1.7444276851838896,0.007313586439722113
R12,1.36665434443418,2.2096709491670627,0.38151228129720327,1.703886438798771,0.19791934878144662,1.646041358642968,0.1697326818319563,1.3286581464605898,-0.028597422199839996
R13,0.7968892438127718,1.0615262727527848,0.24929861439392123,0.8894602453810954,0.10407547953833604,0.8742628762408811,0.08850156461040316,0.7880478187983083,-0.01121940167025113
R17,0.7985620478110408,1.3060840792147108,0.38858297063755654,0.9715798178511392,0.17807880203066073,0.9371720832830182,0.1479024374972961,0.80291820243909,0.005425402755618348
R18,1.9865239529904613,2.353551235820041,0.1559461622265035,2.097730821305355,0.05301293530391721,2.078640709645408,0.04431586287495573,1.9790766894118783,-0.003762998987571342
R20,1.4742590486500935,2.829806603178282,0.47902480438264317,2.0192737759511,0.26990630680790106,2.012883986006849,0.2675886643746804,1.4416653098170946,-0.022608395035276303
R22,1.33762369144162,2.087566759941503,0.3592426756789793,1.6818186411414036,0.204656400684314,1.6436208538631576,0.1861725967411058,1.338274981813353,0.00048666408666667746
