scenario_id,seed,selected_idx,exhaustive_idx,holdout_objective,reference_objective,regret,exact
T01,0,0,0,0.8453247263935215,0.8453247263935215,0.0,1
T01,1,0,0,0.8453247263935215,0.8453247263935215,0.0,1
T01,2,0,0,0.8453247263935215,0.8453247263935215,0.0,1
T01,3,0,0,0.8453247263935215,0.8453247263935215,0.0,1
T01,4,0,0,0.8453247263935215,0.8453247263935215,0.0,1
T02,0,2,2,1.3495845804462687,1.3495845804462687,0.0,1
T02,1,2,2,1.3495845804462687,1.3495845804462687,0.0,1
T02,2,2,2,1.3495845804462687,1.3495845804462687,0.0,1
T02,3,2,2,1.3495845804462687,1.3495845804462687,0.0,1
T02,4,2,2,1.3495845804462687,1.3495845804462687,0.0,1
T03,0,0,0,0.9836619890639412,0.9836619890639412,0.0,1
T03,1,0,0,0.9836619890639412,0.9836619890639412,0.0,1
T03,2,0,0,0.9836619890639412,0.9836619890639412,0.0,1
T03,3,0,0,0.9836619890639412,0.9836619890639412,0.0,1
T03,4,0,0,0.9836619890639412,0.9836619890639412,0.0,1
T04,0,0,0,0.7509137039122291,0.7509137039122291,0.0,1
T04,1,0,0,0.7509137039122291,0.7509137039122291,0.0,1
T04,2,0,0,0.7509137039122291,0.7509137039122291,0.0,1
T04,3,0,0,0.7509137039122291,0.7509137039122291,0.0,1
T04,4,0,0,0.7509137039122291,0.7509137039122291,0.0,1
T05,0,0,0,1.8766560750825452,1.8766560750825452,0.0,1
T05,1,0,0,1.8766560750825452,1.8766560750825452,0.0,1
T05,2,0,0,1.8766560750825452,1.8766560750825452,0.0,1
T05,3,0,0,1.8766560750825452,1.8766560750825452,0.0,1
T05,4,0,0,1.8766560750825452,1.8766560750825452,0.0,1
T06,0,0,0,1.7961462988160777,1.7961462988160777,0.0,1
T06,1,0,0,1.7961462988160777,1.7961462988160777,0.0,1
T06,2,0,0,1.7961462988160777,1.7961462988160777,0.0,1
T06,3,0,0,1.7961462988160777,1.7961462988160777,0.0,1
T06,4,0,0,1.7961462988160777,1.7961462988160777,0.0,1
T07,0,1,1,2.288572426073784,2.288572426073784,0.0,1
T07,1,1,1,2.288572426073784,2.288572426073784,0.0,1
