scenario_id,design,policy_idx,alpha_on,alpha_off,gap_fraction,diffusion_objective,train_objective,train_objective_ci95_hw,holdout_objective,holdout_objective_ci95_hw,holdout_W,holdout_B_H,holdout_B_L,holdout_cloud_fraction,holdout_activation_rate
R23,lhs,0,2.7273053602342148,2.7273053602342148,0.0,0.4208589353285355,0.3155829357151048,0.014490633165294906,0.3262272621786774,0.013515277744139157,0.09858460605423126,0.015252423122229327,0.008468617435898435,0.6015993249711623,0.4372592592592593
R23,lhs,1,5.454610720468429,2.7273053602342148,0.04999999999999999,0.4355532400496266,0.3422909179917608,0.018701692276086083,0.3391114657369984,0.01606882541494195,0.10232934923512556,0.01627708128681893,0.008845567958218508,0.5787439471028772,0.41740740740740734
R23,lhs,2,5.454610720468429,5.454610720468429,0.0,0.47086143216885595,0.37380349256857187,0.020753200637045412,0.3642980925698274,0.016367085918228687,0.1070304993603824,0.018339075040069007,0.010241780340942412,0.5383191337333929,0.4502962962962963
R23,lhs,3,8.181916080702644,2.7273053602342148,0.09999999999999999,0.46088922668159465,0.3510444005017953,0.019540443919385506,0.3561702669995101,0.014853201206986303,0.10592582636670089,0.01772295077929409,0.009461160945000307,0.5504704533783801,0.3912222222222222
R23,lhs,4,8.181916080702644,5.454610720468429,0.05000000000000001,0.4962806983681037,0.375190492543222,0.02281382881990968,0.36040920187197245,0.014312585637293809,0.10789845817766348,0.018163024440625883,0.00980791741049246,0.5170005867435126,0.42262962962962963
R23,lhs,5,8.181916080702644,8.181916080702644,0.0,0.5129702995586043,0.3966603700740341,0.021854520182159085,0.37372063485596213,0.016096772024291144,0.11151056993139476,0.019193101890195387,0.010385748864542611,0.494183857021558,0.4428148148148149
R23,lhs,6,10.909221440936857,2.7273053602342148,0.14999999999999997,0.48495948843604836,0.3562325054421402,0.016974278720466075,0.3694872106561052,0.012886848362116945,0.10887495336177082,0.018845596571530912,0.009909705525805619,0.5283900612126613,0.36251851851851863
R23,lhs,7,10.909221440936857,5.454610720468429,0.09999999999999999,0.520272671603957,0.3950776570386844,0.019315540142738598,0.3757600749226479,0.015420022663054223,0.11137819639007622,0.019452168842375713,0.010337006308430985,0.49087180804820546,0.3905925925925927
R23,lhs,8,10.909221440936857,8.181916080702644,0.04999999999999998,0.536874987841251,0.4011192074791456,0.02591601038250584,0.4013242112503949,0.01515927804557754,0.1158591328950737,0.021432995147281694,0.01163640943401539,0.46886313995237744,0.40607407407407414
R23,lhs,9,10.909221440936857,10.909221440936857,0.0,0.5436854919339676,0.4181049269307615,0.016087942591479346,0.39632652417483655,0.010841570507825918,0.11639324285811137,0.0210614006630281,0.011216788525850346,0.46031201880440725,0.42251851851851846
R23,lhs,10,13.636526801171073,2.7273053602342148,0.19999999999999998,0.5161045444396177,0.38237233581346,0.017912771789316655,0.38325813207573595,0.013008050035484968,0.1131484382773727,0.01993062913899243,0.010541807393963135,0.49568052709597443,0.3338518518518519
R23,lhs,11,13.636526801171073,5.454610720468429,0.15,0.5511510813131011,0.4029889374668043,0.022978679484669993,0.4127817158817689,0.014659626949378043,0.11784541657072137,0.02237652415229096,0.01206882854623658,0.45720831225573083,0.3572592592592592
R23,lhs,12,13.636526801171073,8.181916080702644,0.09999999999999999,0.5675573332617662,0.41139288463002244,0.02178922375519236,0.4080974237513057,0.016243120021996366,0.11914132882595369,0.021990827845681866,0.011749469686121831,0.44243405026757443,0.37285185185185193
R23,lhs,13,13.636526801171073,10.909221440936857,0.05000000000000001,0.5743872275915789,0.4098374119723663,0.01663449148054164,0.41252777833882753,0.016370561131179087,0.1197921239929404,0.022506746686339195,0.011674116958974337,0.4291496216813436,0.38262962962962954
R23,lhs,14,13.636526801171073,13.636526801171073,0.0,0.580425842427881,0.41768001975718844,0.01695887291718247,0.42996754410708515,0.013172777650330293,0.12265273915467165,0.023794438950512205,0.012739713971999755,0.41842431373630656,0.39366666666666666
R23,lhs,15,16.363832161405288,2.7273053602342148,0.25,0.5544285556617565,0.39078652210578946,0.021203805864179765,0.41601764104340144,0.015884967761426907,0.11850200648897695,0.022534941391265828,0.01225449863346075,0.463129725975197,0.30903703703703694
R23,lhs,16,16.363832161405288,5.454610720468429,0.2,0.5889906048599466,0.4232913668564543,0.01979592922244028,0.4269737386113006,0.016321850228710112,0.12142491592299093,0.023518621522483085,0.012633869223666836,0.4324398110488136,0.32766666666666666
R23,lhs,17,16.363832161405288,8.181916080702644,0.15,0.6050873889885724,0.4275008803239612,0.015680306847913394,0.42086286560918545,0.014513670916066382,0.12159693317739846,0.023061200319439645,0.01266744699407752,0.4124490247196624,0.3399999999999999
R23,lhs,18,16.363832161405288,10.909221440936857,0.10000000000000002,0.6118840782212744,0.4591372913835787,0.02177850057590976,0.4414263151095953,0.014995310364858606,0.12402305480370643,0.024851835716706974,0.013142393404209947,0.40178362864578004,0.34785185185185186
R23,lhs,19,16.363832161405288,13.636526801171073,0.05000000000000001,0.6180439859440595,0.4447899752087032,0.018173607514859795,0.44167385161225137,0.01226347978232869,0.1250700230081593,0.024811728205408008,0.013215966143586043,0.3952901238821228,0.3552222222222222
R23,lhs,20,16.363832161405288,16.363832161405288,0.0,0.6247621243065371,0.4526073228923709,0.023793583145468,0.43927755338302366,0.014272815109552472,0.12495087185011802,0.024653792921636684,0.013093450212986456,0.39092418499503645,0.36281481481481476
R23,lhs,21,19.0911375216395,2.7273053602342148,0.29999999999999993,0.5858359269957123,0.40829627403794816,0.018326009536733717,0.43047952394339806,0.016276709001245625,0.12174161457871392,0.023704953823554815,0.012967851003673014,0.43791316716572504,0.28425925925925927
R23,lhs,22,19.0911375216395,5.454610720468429,0.24999999999999997,0.6199513353913642,0.4445445595391715,0.023252234528500042,0.44147418769914626,0.018096173114087993,0.12507831428535623,0.024587185354346824,0.01358745027275655,0.4076547139112711,0.2982222222222222
R23,lhs,23,19.0911375216395,8.181916080702644,0.19999999999999996,0.6357796862674866,0.4560415778942527,0.025156677716996645,0.4498348844012805,0.015810064933523788,0.12723614181914542,0.025430565712452245,0.013429540320659102,0.3871784174433859,0.3105925925925926
R23,lhs,24,19.0911375216395,10.909221440936857,0.14999999999999997,0.6425260641321566,0.46122563116007365,0.026226819713487576,0.4481610885414182,0.013876929981561434,0.12746070818889077,0.025246654841345577,0.013685636174518042,0.37937788109090953,0.3204444444444445
R23,lhs,25,19.0911375216395,13.636526801171073,0.09999999999999996,0.6487383062243887,0.47057902579142546,0.020779115694075763,0.44781948692612866,0.014402984397653746,0.1274678284079477,0.025282534920932583,0.013688032115817126,0.37142100540194006,0.32396296296296295
R23,lhs,26,19.0911375216395,16.363832161405288,0.04999999999999995,0.6556510806737683,0.47736755408965664,0.019946563325395707,0.4581677148256926,0.016611557958984367,0.12967689699276613,0.026128144095905588,0.01398448299100219,0.35962184408883024,0.3306666666666667
R23,lhs,27,19.0911375216395,19.0911375216395,0.0,0.6615576822080638,0.476508820584763,0.022406116328327137,0.46326338732932837,0.014931570805700095,0.13025472797576657,0.02648516488522635,0.014236729226422882,0.363157133498555,0.33651851851851855
