budget,method,median_regret,p90_regret,maximum_regret,runs_within_1pct,runs_within_5pct,exact_training_policy_recovery
12,DR_BGS,0.0,0.0,0.010665480692701462,0.9722222222222222,1.0,0.8611111111111112
12,guarded_GP,0.0,0.0,0.00878082831833419,1.0,1.0,0.8055555555555556
12,residual_GP,0.0,0.0004834383825595385,0.07219697300533622,0.9611111111111111,0.9944444444444445,0.7722222222222223
12,standard_GP,0.0,0.004919905921012653,0.08268654987089702,0.9388888888888889,0.9888888888888889,0.5333333333333333
20,DR_BGS,0.0,0.0,0.0034778710551162406,1.0,1.0,0.8888888888888888
20,guarded_GP,0.0,0.0034778710551162406,0.00878082831833419,1.0,1.0,0.8611111111111112
20,residual_GP,0.0,0.0,0.07219697300533622,0.95,0.9944444444444445,0.8444444444444444
20,standard_GP,0.0,0.00029444547132495276,0.07219697300533622,0.9555555555555556,0.9888888888888889,0.7833333333333333
