scenario_id,budget,seed,method,selected_idx,regret_vs_exhaustive_training_workflow,exact_training_policy_recovery
F09,12,3,residual_GP,10,0.0,0
F09,12,3,DR_BGS,10,0.0,0
F09,12,4,standard_GP,10,0.0,0
F09,12,4,guarded_GP,6,0.0,0
F09,12,4,residual_GP,10,0.0,0
F09,12,4,DR_BGS,10,0.0,0
F09,20,0,standard_GP,3,0.0,1
F09,20,0,guarded_GP,3,0.0,1
F09,20,0,residual_GP,3,0.0,1
F09,20,0,DR_BGS,3,0.0,1
F09,20,1,standard_GP,3,0.0,1
F09,20,1,guarded_GP,3,0.0,1
F09,20,1,residual_GP,3,0.0,1
F09,20,1,DR_BGS,3,0.0,1
F09,20,2,standard_GP,3,0.0,1
F09,20,2,guarded_GP,3,0.0,1
F09,20,2,residual_GP,3,0.0,1
F09,20,2,DR_BGS,3,0.0,1
F09,20,3,standard_GP,3,0.0,1
F09,20,3,guarded_GP,3,0.0,1
F09,20,3,residual_GP,3,0.0,1
F09,20,3,DR_BGS,3,0.0,1
F09,20,4,standard_GP,3,0.0,1
F09,20,4,guarded_GP,3,0.0,1
F09,20,4,residual_GP,3,0.0,1
F09,20,4,DR_BGS,3,0.0,1
F10,12,0,standard_GP,0,0.0,0
F10,12,0,guarded_GP,0,0.0,0
F10,12,0,residual_GP,1,0.0,1
F10,12,0,DR_BGS,1,0.0,1
F10,12,1,standard_GP,0,0.0,0
F10,12,1,guarded_GP,0,0.0,0
F10,12,1,residual_GP,1,0.0,1
F10,12,1,DR_BGS,1,0.0,1
F10,12,2,standard_GP,0,0.0,0
F10,12,2,guarded_GP,0,0.0,0
F10,12,2,residual_GP,0,0.0,0
F10,12,2,DR_BGS,1,0.0,1
F10,12,3,standard_GP,0,0.0,0
F10,12,3,guarded_GP,0,0.0,0
F10,12,3,residual_GP,1,0.0,1
F10,12,3,DR_BGS,1,0.0,1
F10,12,4,standard_GP,0,0.0,0
F10,12,4,guarded_GP,0,0.0,0
F10,12,4,residual_GP,1,0.0,1
F10,12,4,DR_BGS,1,0.0,1
F10,20,0,standard_GP,1,0.0,1
F10,20,0,guarded_GP,1,0.0,1
F10,20,0,residual_GP,1,0.0,1
F10,20,0,DR_BGS,1,0.0,1
F10,20,1,standard_GP,1,0.0,1
F10,20,1,guarded_GP,1,0.0,1
F10,20,1,residual_GP,1,0.0,1
F10,20,1,DR_BGS,1,0.0,1
F10,20,2,standard_GP,1,0.0,1
F10,20,2,guarded_GP,1,0.0,1
F10,20,2,residual_GP,1,0.0,1
F10,20,2,DR_BGS,1,0.0,1
F10,20,3,standard_GP,1,0.0,1
F10,20,3,guarded_GP,1,0.0,1
F10,20,3,residual_GP,1,0.0,1
F10,20,3,DR_BGS,1,0.0,1
F10,20,4,standard_GP,1,0.0,1
F10,20,4,guarded_GP,1,0.0,1
F10,20,4,residual_GP,1,0.0,1
F10,20,4,DR_BGS,1,0.0,1
F12,12,0,standard_GP,0,0.0,0
F12,12,0,guarded_GP,3,0.0,1
F12,12,0,residual_GP,3,0.0,1
F12,12,0,DR_BGS,3,0.0,1
F12,12,1,standard_GP,3,0.0,1
F12,12,1,guarded_GP,3,0.0,1
F12,12,1,residual_GP,3,0.0,1
F12,12,1,DR_BGS,3,0.0,1
F12,12,2,standard_GP,0,0.0,0
F12,12,2,guarded_GP,3,0.0,1
F12,12,2,residual_GP,3,0.0,1
F12,12,2,DR_BGS,3,0.0,1
F12,12,3,standard_GP,3,0.0,1
F12,12,3,guarded_GP,3,0.0,1
F12,12,3,residual_GP,3,0.0,1
F12,12,3,DR_BGS,3,0.0,1
F12,12,4,standard_GP,3,0.0,1
F12,12,4,guarded_GP,3,0.0,1
F12,12,4,residual_GP,3,0.0,1
F12,12,4,DR_BGS,3,0.0,1
F12,20,0,standard_GP,3,0.0,1
F12,20,0,guarded_GP,3,0.0,1
F12,20,0,residual_GP,3,0.0,1
F12,20,0,DR_BGS,3,0.0,1
F12,20,1,standard_GP,3,0.0,1
F12,20,1,guarded_GP,3,0.0,1
F12,20,1,residual_GP,3,0.0,1
F12,20,1,DR_BGS,3,0.0,1
F12,20,2,standard_GP,3,0.0,1
F12,20,2,guarded_GP,3,0.0,1
F12,20,2,residual_GP,3,0.0,1
F12,20,2,DR_BGS,3,0.0,1
F12,20,3,standard_GP,3,0.0,1
F12,20,3,guarded_GP,3,0.0,1
F12,20,3,residual_GP,3,0.0,1
F12,20,3,DR_BGS,3,0.0,1
F12,20,4,standard_GP,3,0.0,1
F12,20,4,guarded_GP,3,0.0,1
F12,20,4,residual_GP,3,0.0,1
F12,20,4,DR_BGS,3,0.0,1
F27,12,0,standard_GP,0,0.0,1
F27,12,0,guarded_GP,0,0.0,1
F27,12,0,residual_GP,0,0.0,1
F27,12,0,DR_BGS,0,0.0,1
F27,12,1,standard_GP,0,0.0,1
F27,12,1,guarded_GP,0,0.0,1
F27,12,1,residual_GP,0,0.0,1
F27,12,1,DR_BGS,0,0.0,1
F27,12,2,standard_GP,0,0.0,1
F27,12,2,guarded_GP,0,0.0,1
F27,12,2,residual_GP,0,0.0,1
F27,12,2,DR_BGS,0,0.0,1
F27,12,3,standard_GP,0,0.0,1
F27,12,3,guarded_GP,0,0.0,1
F27,12,3,residual_GP,0,0.0,1
F27,12,3,DR_BGS,0,0.0,1
F27,12,4,standard_GP,0,0.0,1
F27,12,4,guarded_GP,0,0.0,1
F27,12,4,residual_GP,0,0.0,1
F27,12,4,DR_BGS,0,0.0,1
F27,20,0,standard_GP,0,0.0,1
F27,20,0,guarded_GP,0,0.0,1
F27,20,0,residual_GP,0,0.0,1
F27,20,0,DR_BGS,0,0.0,1
F27,20,1,standard_GP,0,0.0,1
F27,20,1,guarded_GP,0,0.0,1
F27,20,1,residual_GP,0,0.0,1
F27,20,1,DR_BGS,0,0.0,1
F27,20,2,standard_GP,0,0.0,1
F27,20,2,guarded_GP,0,0.0,1
F27,20,2,residual_GP,0,0.0,1
F27,20,2,DR_BGS,0,0.0,1
F27,20,3,standard_GP,0,0.0,1
F27,20,3,guarded_GP,0,0.0,1
F27,20,3,residual_GP,0,0.0,1
F27,20,3,DR_BGS,0,0.0,1
F27,20,4,standard_GP,0,0.0,1
F27,20,4,guarded_GP,0,0.0,1
F27,20,4,residual_GP,0,0.0,1
F27,20,4,DR_BGS,0,0.0,1
F28,12,0,standard_GP,0,0.0,1
F28,12,0,guarded_GP,0,0.0,1
F28,12,0,residual_GP,0,0.0,1
F28,12,0,DR_BGS,0,0.0,1
F28,12,1,standard_GP,0,0.0,1
F28,12,1,guarded_GP,0,0.0,1
F28,12,1,residual_GP,0,0.0,1
F28,12,1,DR_BGS,0,0.0,1
