scenario_id,design,policy_idx,alpha_on,alpha_off,gap_fraction,diffusion_objective,train_objective,train_objective_ci95_hw,holdout_objective,holdout_objective_ci95_hw,holdout_W,holdout_B_H,holdout_B_L,holdout_cloud_fraction,holdout_activation_rate
V11,fresh_lhs,0,3.6407747531703905,3.6407747531703905,0.0,2.0451403876122214,1.3942806936055656,0.05304266467624903,1.403482315700484,0.031223147813583783,0.2483639965609169,0.09151387899350437,0.04935221625878541,0.341047138369032,0.34818518518518515
V11,fresh_lhs,1,7.281549506340781,3.6407747531703905,0.05,2.058733666825124,1.3833117452126644,0.04519162662206438,1.42848810520277,0.030458791599543997,0.25062189312337696,0.09388499929958814,0.050257916876238026,0.3316066562237407,0.3340740740740741
V11,fresh_lhs,2,7.281549506340781,7.281549506340781,0.0,2.1641853913112596,1.437453059778662,0.04412556988622983,1.4511234601558303,0.02954587147124331,0.2547691575402291,0.09607630251514193,0.05119674640919792,0.314723753749315,0.3435555555555555
V11,fresh_lhs,3,10.922324259511171,3.6407747531703905,0.1,2.0760977186631924,1.3864460306059125,0.04048282107646425,1.4265564409356817,0.03350147984255857,0.25161680835365213,0.09375194534249383,0.04980053279596565,0.33028287955760793,0.32129629629629636
V11,fresh_lhs,4,10.922324259511171,7.281549506340781,0.05,2.178398965239164,1.4081302820489845,0.049222416541379814,1.4403279727916591,0.027921823674944363,0.2540723465255069,0.09542541674901164,0.04979272658635071,0.31449043239546876,0.33151851851851855
V11,fresh_lhs,5,10.922324259511171,10.922324259511171,0.0,2.2261105141321313,1.421884185420553,0.05216927767722988,1.4823457478132946,0.026218225490018458,0.2597277658717588,0.09891211970898255,0.05252683380417495,0.29887132668902294,0.33799999999999997
V11,fresh_lhs,6,14.563099012681562,3.6407747531703905,0.15,2.0968366342959954,1.4124773652047335,0.037085241905949314,1.4479355656539556,0.025737579727422702,0.25362339946134965,0.09575825626480675,0.05004069191749217,0.3265068366020922,0.30562962962962964
V11,fresh_lhs,7,14.563099012681562,7.281549506340781,0.1,2.1956450180887255,1.437201691204902,0.044624163022904735,1.4613396892868593,0.02896722325025154,0.25611355788199036,0.09705399868749978,0.051898018767395124,0.30694829758321135,0.3146666666666667
V11,fresh_lhs,8,14.563099012681562,10.922324259511171,0.05,2.2417429720698134,1.4543529625334894,0.03884702553269166,1.5037692546163846,0.027460376586555337,0.2619283853315154,0.10086849862886166,0.05375320412038674,0.28890649908670735,0.32077777777777783
V11,fresh_lhs,9,14.563099012681562,14.563099012681562,0.0,2.2774860753298474,1.4811519128912036,0.03923468163053962,1.5019017332501903,0.029596573178329397,0.26248518658010234,0.10089132097076527,0.05355171576600695,0.2826212758905059,0.32707407407407413
V11,fresh_lhs,10,18.203873765851952,3.6407747531703905,0.2,2.1203731932618393,1.4155446269317047,0.05173021952730516,1.464668389379813,0.03174378527774171,0.2561068264661575,0.09698232477098802,0.052128128356488966,0.31711807422542615,0.29111111111111104
