scenario_id,seed,selected_idx,exhaustive_idx,holdout_objective,reference_objective,regret,exact
L01,0,0,0,0.8267943089262338,0.8267943089262338,0.0,1
L01,1,0,0,0.8267943089262338,0.8267943089262338,0.0,1
L01,2,0,0,0.8267943089262338,0.8267943089262338,0.0,1
L01,3,0,0,0.8267943089262338,0.8267943089262338,0.0,1
L01,4,0,0,0.8267943089262338,0.8267943089262338,0.0,1
L02,0,187,151,0.7324731271077835,0.7301354664241785,0.003201680771725292,0
L02,1,187,151,0.7324731271077835,0.7301354664241785,0.003201680771725292,0
L02,2,187,151,0.7324731271077835,0.7301354664241785,0.003201680771725292,0
L02,3,187,151,0.7324731271077835,0.7301354664241785,0.003201680771725292,0
L02,4,187,151,0.7324731271077835,0.7301354664241785,0.003201680771725292,0
L03,0,0,0,1.1078902908229695,1.1078902908229695,0.0,1
L03,1,0,0,1.1078902908229695,1.1078902908229695,0.0,1
L03,2,0,0,1.1078902908229695,1.1078902908229695,0.0,1
L03,3,0,0,1.1078902908229695,1.1078902908229695,0.0,1
L03,4,0,0,1.1078902908229695,1.1078902908229695,0.0,1
L04,0,0,0,1.7838670227206288,1.7838670227206288,0.0,1
L04,1,0,0,1.7838670227206288,1.7838670227206288,0.0,1
L04,2,0,0,1.7838670227206288,1.7838670227206288,0.0,1
L04,3,0,0,1.7838670227206288,1.7838670227206288,0.0,1
L04,4,0,0,1.7838670227206288,1.7838670227206288,0.0,1
L05,0,0,0,1.610506457943245,1.610506457943245,0.0,1
L05,1,0,0,1.610506457943245,1.610506457943245,0.0,1
L05,2,0,0,1.610506457943245,1.610506457943245,0.0,1
L05,3,0,0,1.610506457943245,1.610506457943245,0.0,1
L05,4,0,0,1.610506457943245,1.610506457943245,0.0,1
L06,0,0,0,0.3563799311829034,0.3563799311829034,0.0,1
L06,1,0,0,0.3563799311829034,0.3563799311829034,0.0,1
L06,2,0,0,0.3563799311829034,0.3563799311829034,0.0,1
L06,3,0,0,0.3563799311829034,0.3563799311829034,0.0,1
L06,4,0,0,0.3563799311829034,0.3563799311829034,0.0,1
L07,0,0,0,1.973599508554663,1.973599508554663,0.0,1
L07,1,0,0,1.973599508554663,1.973599508554663,0.0,1
L07,2,0,0,1.973599508554663,1.973599508554663,0.0,1
L07,3,0,0,1.973599508554663,1.973599508554663,0.0,1
L07,4,0,0,1.973599508554663,1.973599508554663,0.0,1
L08,0,39,51,0.6840574563722396,0.6820307612804299,0.002971559652243198,0
L08,1,39,51,0.6840574563722396,0.6820307612804299,0.002971559652243198,0
L08,2,39,51,0.6840574563722396,0.6820307612804299,0.002971559652243198,0
L08,3,39,51,0.6840574563722396,0.6820307612804299,0.002971559652243198,0
L08,4,39,51,0.6840574563722396,0.6820307612804299,0.002971559652243198,0
L09,0,0,0,2.6722174964130474,2.6722174964130474,0.0,1
L09,1,0,0,2.6722174964130474,2.6722174964130474,0.0,1
L09,2,0,0,2.6722174964130474,2.6722174964130474,0.0,1
L09,3,0,0,2.6722174964130474,2.6722174964130474,0.0,1
L09,4,0,0,2.6722174964130474,2.6722174964130474,0.0,1
L10,0,0,0,1.0973363175674813,1.0973363175674813,0.0,1
L10,1,0,0,1.0973363175674813,1.0973363175674813,0.0,1
L10,2,0,0,1.0973363175674813,1.0973363175674813,0.0,1
L10,3,0,0,1.0973363175674813,1.0973363175674813,0.0,1
L10,4,0,0,1.0973363175674813,1.0973363175674813,0.0,1
L11,0,0,0,4.189814929269251,4.189814929269251,0.0,1
L11,1,0,0,4.189814929269251,4.189814929269251,0.0,1
L11,2,0,0,4.189814929269251,4.189814929269251,0.0,1
L11,3,0,0,4.189814929269251,4.189814929269251,0.0,1
L11,4,0,0,4.189814929269251,4.189814929269251,0.0,1
L12,0,0,0,0.4544667873385223,0.4544667873385223,0.0,1
L12,1,0,0,0.4544667873385223,0.4544667873385223,0.0,1
L12,2,0,0,0.4544667873385223,0.4544667873385223,0.0,1
L12,3,0,0,0.4544667873385223,0.4544667873385223,0.0,1
L12,4,0,0,0.4544667873385223,0.4544667873385223,0.0,1
L13,0,0,0,1.1745811747073551,1.1745811747073551,0.0,1
L13,1,0,0,1.1745811747073551,1.1745811747073551,0.0,1
L13,2,0,0,1.1745811747073551,1.1745811747073551,0.0,1
L13,3,0,0,1.1745811747073551,1.1745811747073551,0.0,1
L13,4,0,0,1.1745811747073551,1.1745811747073551,0.0,1
L14,0,0,0,0.8013160189996197,0.8013160189996197,0.0,1
L14,1,0,0,0.8013160189996197,0.8013160189996197,0.0,1
L14,2,0,0,0.8013160189996197,0.8013160189996197,0.0,1
L14,3,0,0,0.8013160189996197,0.8013160189996197,0.0,1
L14,4,0,0,0.8013160189996197,0.8013160189996197,0.0,1
L15,0,182,182,0.6322920263804951,0.6322920263804951,0.0,1
L15,1,182,182,0.6322920263804951,0.6322920263804951,0.0,1
L15,2,182,182,0.6322920263804951,0.6322920263804951,0.0,1
L15,3,182,182,0.6322920263804951,0.6322920263804951,0.0,1
L15,4,182,182,0.6322920263804951,0.6322920263804951,0.0,1
L16,0,0,0,3.9466094624787735,3.9466094624787735,0.0,1
L16,1,0,0,3.9466094624787735,3.9466094624787735,0.0,1
L16,2,0,0,3.9466094624787735,3.9466094624787735,0.0,1
L16,3,0,0,3.9466094624787735,3.9466094624787735,0.0,1
L16,4,0,0,3.9466094624787735,3.9466094624787735,0.0,1
L17,0,1,1,1.2389687311866444,1.2389687311866444,0.0,1
L17,1,1,1,1.2389687311866444,1.2389687311866444,0.0,1
L17,2,1,1,1.2389687311866444,1.2389687311866444,0.0,1
L17,3,1,1,1.2389687311866444,1.2389687311866444,0.0,1
L17,4,1,1,1.2389687311866444,1.2389687311866444,0.0,1
