model,formula,parameter_a,parameter_b,R2,RMSE_tok_s,AICc,LOOCV_RMSE_tok_s
Exponential,$a e^{-bz}$,53.6137586752195,0.034451374217259634,0.9961152998164128,0.7894585543653444,5.163104687378781,1.2986781579990019
Reciprocal,$a/(1+bz)$,56.89910775279828,0.058539972406362176,0.9936298766818172,1.0109379543447294,8.130542810914168,1.6093476787412266
Linear,$a-bz$,50.23339815530309,1.0017392147540367,0.9529274526059716,2.7481120259344696,20.130969678570523,6.572497127087301
Power,$a(1+z)^{-b}$,74.7775548933987,0.33825960121718907,0.9215500005979532,3.547701358260057,23.19559866860161,6.127325176875046
