original_scenario_id,base_rho,base_tau,K,rho,qH,tau,candidate_labels,intervention_index,coarse_mean_feasible_policies,coarse_min_max_mean_ratio
BG02,0.7,2.0,40.0,0.7,0.2,2.0,baseline;capacity_path;delay_path;load_path,0.0,0,8.453582237200381
BG02,0.7,2.0,60.0,0.7,0.2,2.0,capacity_path,0.5,0,5.310680928794157
BG02,0.7,2.0,80.0,0.7,0.2,2.0,capacity_path,1.0,0,1.2902290022150076
BG02,0.7,2.0,100.0,0.7,0.2,2.0,capacity_path,1.5,0,2.3281788421938576
BG02,0.7,2.0,120.0,0.7,0.2,2.0,capacity_path,2.0,0,1.2280935149709094
BG02,0.7,2.0,160.0,0.7,0.2,2.0,capacity_path;joint_harder,3.0,0,1.5305443384950663
BG02,0.7,2.0,200.0,0.7,0.2,2.0,capacity_path;joint_boundary,4.0,92,0.2688172043010752
BG02,0.7,2.0,240.0,0.7,0.2,2.0,capacity_path;joint_boundary,5.0,104,0.0915750915750915
BG02,0.7,2.0,40.0,0.7,0.2,0.1,delay_path,0.95,0,2.664460180413726
BG02,0.7,2.0,40.0,0.7,0.2,0.25,delay_path,0.875,0,3.987544777813772
BG02,0.7,2.0,40.0,0.7,0.2,0.5,delay_path,0.75,0,4.375616938190575
BG02,0.7,2.0,40.0,0.7,0.2,1.0,delay_path,0.5,0,5.276323332265427
BG02,0.7,2.0,60.0,0.2,0.2,2.0,joint_safer,1.2142857142857144,6,0.5905566711289604
BG02,0.7,2.0,60.0,0.25,0.2,2.0,joint_boundary,1.1428571428571428,2,0.7948489030929583
BG02,0.7,2.0,60.0,0.3,0.2,2.0,joint_harder,1.0714285714285714,0,2.062636953960548
BG02,0.7,2.0,80.0,0.25,0.2,2.0,joint_safer,1.6428571428571428,4,0.6069894466848993
BG02,0.7,2.0,80.0,0.3,0.2,2.0,joint_boundary,1.5714285714285714,1,0.9346325027421274
BG02,0.7,2.0,80.0,0.35,0.2,2.0,joint_harder,1.5,0,1.363908440032406
BG02,0.7,2.0,100.0,0.4,0.2,2.0,joint_safer,1.9285714285714284,11,0.5437665782493369
BG02,0.7,2.0,100.0,0.45,0.2,2.0,joint_boundary,1.8571428571428572,1,0.9467979875642666
BG02,0.7,2.0,100.0,0.5,0.2,2.0,joint_harder,1.7857142857142856,0,1.134947446735954
