regime,method,evidence_n,runs,certified_runs,certified_fraction,decision_reversals,median_upper_H,median_upper_L
interior_safer,Risk-screen-oracle,1200,12,12,1.0,0,0.003069346108100284,0.003069346108100284
near_boundary_harder,DR-BGS,50,60,0,0.0,0,0.3364085273495745,0.07112173646419764
near_boundary_harder,DR-BGS,100,60,0,0.0,0,0.24678759741086234,0.054459385392080645
near_boundary_harder,DR-BGS,150,60,0,0.0,0,0.22478871962498453,0.03658316774058025
near_boundary_harder,DR-BGS,300,60,0,0.0,0,0.19176255662323888,0.018431252048067885
near_boundary_harder,DR-BGS,600,60,5,0.08333333333333333,5,0.1658274268595934,0.014542042139563288
near_boundary_harder,DR-BGS,1200,60,0,0.0,0,0.15784945990488047,0.008512483409091042
near_boundary_harder,Exhaustive-training,50,12,0,0.0,0,0.31350394553139893,0.07112173646419764
near_boundary_harder,Exhaustive-training,100,12,0,0.0,0,0.2295177407597613,0.054459385392080645
near_boundary_harder,Exhaustive-training,150,12,0,0.0,0,0.22106750783849066,0.03658316774058025
near_boundary_harder,Exhaustive-training,300,12,0,0.0,0,0.19720684594735427,0.018431252048067885
near_boundary_harder,Exhaustive-training,600,12,1,0.08333333333333333,0,0.16939888228624644,0.014542042139563288
near_boundary_harder,Exhaustive-training,1200,12,2,0.16666666666666666,0,0.15916856419457381,0.009681696726483755
near_boundary_harder,Guarded-GP,50,60,0,0.0,0,0.3369906499257198,0.07112173646419764
near_boundary_harder,Guarded-GP,100,60,0,0.0,0,0.23530750014895488,0.03621669264517641
near_boundary_harder,Guarded-GP,150,60,0,0.0,0,0.22485927263330555,0.030437882453344396
near_boundary_harder,Guarded-GP,300,60,0,0.0,0,0.19353903351445723,0.018431252048067885
near_boundary_harder,Guarded-GP,600,60,0,0.0,0,0.16853098267922986,0.011988833958652457
near_boundary_harder,Guarded-GP,1200,60,0,0.0,0,0.15872873925905084,0.008512483409091042
near_boundary_harder,Risk-screen-oracle,50,12,0,0.0,0,0.2911263065951108,0.07112173646419764
near_boundary_harder,Risk-screen-oracle,100,12,0,0.0,0,0.23530750014895488,0.045338039018628526
near_boundary_harder,Risk-screen-oracle,150,12,0,0.0,0,0.2135180755660786,0.03658316774058025
near_boundary_harder,Risk-screen-oracle,300,12,0,0.0,0,0.17891090904434342,0.021152374810120767
near_boundary_harder,Risk-screen-oracle,600,12,0,0.0,0,0.15772037960093854,0.014542042139563288
near_boundary_harder,Risk-screen-oracle,1200,12,1,0.08333333333333333,0,0.154764996552417,0.00910455069038059
