scenario_id,design,policy_idx,alpha_on,alpha_off,gap_fraction,diffusion_objective,train_objective,train_objective_ci95_hw,holdout_objective,holdout_objective_ci95_hw,holdout_W,holdout_B_H,holdout_B_L,holdout_cloud_fraction,holdout_activation_rate
L44,locked_iid59_v9,0,1.7567630930307612,1.7567630930307612,0.0,0.7712131224819723,0.7621065218244347,0.043064719593658894,0.7293700963543548,0.02924853616461614,0.19544152274680215,0.04220027134642279,0.010238171686299449,0.6421904217055563,0.2428148148148148
L44,locked_iid59_v9,1,3.5135261860615223,1.7567630930307612,0.05,0.8088081123469235,0.769426879477221,0.040476860950546804,0.7547720829654723,0.024201556315962658,0.19970074312940428,0.04433188384792191,0.011349714080623087,0.6202296365083918,0.2292962962962963
L44,locked_iid59_v9,2,3.5135261860615223,3.5135261860615223,0.0,0.8977933636986944,0.7753272246561067,0.04652599041531739,0.8035699604255696,0.031175352597756084,0.21157352510544528,0.04813102908763468,0.012502367038024532,0.5908615343173422,0.24811111111111112
L44,locked_iid59_v9,3,5.2702892790922835,1.7567630930307612,0.1,0.8578040279757441,0.8142331842486866,0.03949032189715229,0.7866301217887482,0.02542709363794718,0.20518346732202694,0.046952484774257036,0.012619934842395656,0.5978669225651537,0.2165925925925926
L44,locked_iid59_v9,4,5.2702892790922835,3.5135261860615223,0.05,0.9459082811049121,0.8306367033653285,0.047411854893488696,0.8109993132980381,0.03306206309995379,0.2113617044626264,0.04900287890515652,0.013419670313688632,0.565788613934641,0.23177777777777778
L44,locked_iid59_v9,5,5.2702892790922835,5.2702892790922835,0.0,0.9795046503146482,0.8293647177814899,0.04712530611666212,0.8458266396913368,0.03145282030744167,0.22014343869128875,0.05144076064279809,0.014761706296246914,0.5532296608728653,0.23844444444444443
L44,locked_iid59_v9,6,7.027052372123044,1.7567630930307612,0.14999999999999997,0.9141406865451361,0.8092383666756099,0.03938724645836266,0.8092355571858688,0.026492963971505704,0.2124819815287382,0.048750554650470845,0.012580692496058607,0.5787071467919278,0.1979259259259259
L44,locked_iid59_v9,7,7.027052372123044,3.5135261860615223,0.09999999999999998,1.0000991758489755,0.8323014708833398,0.04738573414060329,0.859508223334933,0.03424160424108177,0.22245973956253542,0.05265629075308131,0.014898419863461982,0.5448104678321838,0.20914814814814814
L44,locked_iid59_v9,8,7.027052372123044,5.2702892790922835,0.049999999999999975,1.03237102905069,0.8675629653895862,0.04096062840057607,0.8571672557481357,0.030380304550189318,0.2219872222965214,0.05267649085247317,0.015260489678584826,0.5226755334813552,0.22033333333333333
L44,locked_iid59_v9,9,7.027052372123044,7.027052372123044,0.0,1.0500341032538805,0.8799818210836806,0.039835146845857136,0.8651930427346709,0.030938742078628092,0.2246361892605813,0.053264720742055974,0.015142007497617157,0.5211188009943611,0.22625925925925927
L44,locked_iid59_v9,10,8.783815465153804,1.7567630930307612,0.19999999999999996,0.972970574033207,0.8673699725304246,0.04012386719395816,0.8294267655337185,0.031111616824485475,0.2175131172584166,0.050317648550813124,0.013466406361187065,0.5584354316855703,0.18233333333333332
L44,locked_iid59_v9,11,8.783815465153804,3.5135261860615223,0.14999999999999994,1.0556479463367106,0.8539833042653813,0.04860881022702531,0.8938545706903006,0.027394145192688634,0.2278467437476603,0.05555639532750819,0.015807685481199523,0.527590755688152,0.19033333333333333
L44,locked_iid59_v9,12,8.783815465153804,5.2702892790922835,0.09999999999999995,1.0862320834723762,0.9091410446608371,0.04147418329761361,0.8947626915529624,0.03818706106921737,0.2306647791045115,0.055603473981568965,0.015933065947841114,0.5075496332268467,0.20037037037037037
L44,locked_iid59_v9,13,8.783815465153804,7.027052372123044,0.049999999999999975,1.1030596182640322,0.898061397571904,0.04953709103236052,0.8947459675004623,0.02874348954235939,0.2302683432829152,0.05570541938656837,0.01630345555265859,0.4959026624468797,0.20603703703703705
L44,locked_iid59_v9,14,8.783815465153804,8.783815465153804,0.0,1.115251126075657,0.8929025705702502,0.047554544340996485,0.9093665868785147,0.030061967679935495,0.234016260433935,0.05681813909755906,0.016630101304900786,0.4879349492985018,0.2086296296296296
L44,locked_iid59_v9,15,10.540578558184565,1.7567630930307612,0.24999999999999994,1.0303319002625895,0.8813943568652766,0.0452005646318742,0.8788473170467438,0.027326860795877834,0.22846435949177255,0.05404654897863471,0.015260363848984321,0.533853425090681,0.16711111111111107
L44,locked_iid59_v9,16,10.540578558184565,3.5135261860615223,0.19999999999999996,1.1090809190331539,0.9182840293916679,0.03357571976052795,0.8756832470215977,0.03528455956083541,0.22592686774122522,0.05421334049147813,0.015990104890853975,0.5032143627553054,0.17581481481481478
L44,locked_iid59_v9,17,10.540578558184565,5.2702892790922835,0.14999999999999994,1.1378426406125255,0.9314545684776123,0.04551434798575066,0.9223789120142933,0.03840106956296527,0.2372029314126801,0.05767485467804788,0.01702740231947261,0.48990804639091745,0.182
L44,locked_iid59_v9,18,10.540578558184565,7.027052372123044,0.09999999999999998,1.1537565686386289,0.9271957778331353,0.03338014839878246,0.928615077984672,0.0338025586294121,0.2381609698864677,0.058302981488410434,0.01720977829357621,0.4790543122129433,0.1850740740740741
L44,locked_iid59_v9,19,10.540578558184565,8.783815465153804,0.05,1.1654971755187928,0.9463458355529039,0.04992920925003642,0.9219066764728759,0.028172492249286796,0.23680161005317907,0.058002244413364164,0.01644115924931662,0.4759291202329233,0.18992592592592591
L44,locked_iid59_v9,20,10.540578558184565,10.540578558184565,0.0,1.1761882660818845,0.9392984010142751,0.05674159794964877,0.9496857858971658,0.028365607105753525,0.2433470682019951,0.0600692450896342,0.017214149628307498,0.46574672652943555,0.19285185185185183
L44,locked_iid59_v9,21,12.297341651215326,1.7567630930307612,0.29999999999999993,1.083842410774895,0.8942761337638043,0.05030547836112934,0.906505015958496,0.03401989103815294,0.23235797807738479,0.05643039883281597,0.016610233295957854,0.508196496068028,0.15192592592592596
L44,locked_iid59_v9,22,12.297341651215326,3.5135261860615223,0.24999999999999994,1.1585759615138662,0.9132608797833861,0.0406973228453004,0.8980318704157269,0.03196355804916009,0.23134530597022537,0.056017827383795904,0.0166184347192813,0.4832375398918108,0.161037037037037
L44,locked_iid59_v9,23,12.297341651215326,5.2702892790922835,0.19999999999999996,1.1855921223638133,0.939895164415538,0.05185912415906307,0.9421012887419574,0.030818755204803233,0.24087873295184406,0.05935189225237572,0.017807574318824126,0.4700151160740221,0.1653333333333333
L44,locked_iid59_v9,24,12.297341651215326,7.027052372123044,0.14999999999999997,1.2006258433501587,0.9330281915929511,0.04626366537189631,0.9481574413194117,0.02598945516040417,0.24271521960393713,0.06004054255435627,0.016850074955721283,0.4679836778316511,0.16800000000000004
L44,locked_iid59_v9,25,12.297341651215326,8.783815465153804,0.1,1.2118987118806543,0.9732256174751666,0.04083341499664423,0.9717146605522032,0.03563555101284248,0.24734878938384533,0.06169419850596268,0.01858038326783943,0.4535623173096722,0.17040740740740737
L44,locked_iid59_v9,26,12.297341651215326,10.540578558184565,0.05,1.222397180625165,0.9760902786251016,0.04978950112520703,0.9638136265547252,0.027312333072361132,0.2457463491017248,0.06124169086519535,0.01819270575599879,0.4475791563299673,0.1755185185185185
L44,locked_iid59_v9,27,12.297341651215326,12.297341651215326,0.0,1.2335867762245971,0.9741931744245145,0.04078394041275412,0.9918126533432287,0.03217303086511356,0.2515276607624955,0.06324307628055202,0.019082619715966198,0.44742350849456874,0.17666666666666672
L44,locked_iid59_v9,28,14.054104744246088,1.7567630930307612,0.3499999999999999,1.1325209271347312,0.9354182063951418,0.04350228029176906,0.914024875219065,0.027841971299289493,0.23637039566628723,0.05708521853415394,0.015947360420920896,0.4979044424114125,0.14103703703703704
L44,locked_iid59_v9,29,14.054104744246088,3.5135261860615223,0.29999999999999993,1.2035765127282605,0.9555419976191748,0.044888894105561794,0.9584497771920056,0.02946344893987642,0.24436575964781068,0.060592595026883384,0.018234727863192756,0.46545181649512796,0.14737037037037037
L44,locked_iid59_v9,30,14.054104744246088,5.2702892790922835,0.24999999999999994,1.229060393234287,0.9618028270167878,0.04939139729978241,0.9732090411563009,0.029578700759991666,0.2482289169748155,0.0616528739223052,0.018659966390439542,0.4597256263099551,0.15233333333333332
L44,locked_iid59_v9,31,14.054104744246088,7.027052372123044,0.19999999999999998,1.2433188368026937,0.9666923911200292,0.04858126711980757,0.9663898979476255,0.02658524090736103,0.24796381549882804,0.06138128075767554,0.017477128485451028,0.4531719742973534,0.15351851851851853
L44,locked_iid59_v9,32,14.054104744246088,8.783815465153804,0.15,1.2541610469658322,0.9715831883480138,0.047082601236748386,0.9912840143481838,0.03358331796475178,0.2509069247197739,0.06326595935812138,0.01923643270725888,0.4435459399336939,0.15437037037037038
L44,locked_iid59_v9,33,14.054104744246088,10.540578558184565,0.1,1.2644465463958436,0.9864436795020198,0.05160475902713847,0.9931914946777737,0.028842081983398504,0.251563852461094,0.06340790329051389,0.019682333780415964,0.43399726826996954,0.15925925925925927
L44,locked_iid59_v9,34,14.054104744246088,12.297341651215326,0.05,1.2756244934949141,0.985667677615998,0.041390221427914826,1.0041261026165962,0.027351096037903037,0.25442703146112666,0.06422698930369108,0.019926106989968283,0.4285754301792271,0.16040740740740742
L44,locked_iid59_v9,35,14.054104744246088,14.054104744246088,0.0,1.2886018362884597,1.0260713529243621,0.05824573245521559,1.0133917967042636,0.030026164113862434,0.25807455549898506,0.0648023809653563,0.019901372820467046,0.4280256237246592,0.16655555555555554
L44,locked_iid59_v9,36,15.810867837276849,1.7567630930307612,0.39999999999999997,1.1762859303022892,0.9721553227994579,0.04424075661334752,0.9508882727087786,0.03283399907656877,0.24141228970324768,0.05998592537247061,0.017842034599146513,0.48360530401595503,0.1287037037037037
L44,locked_iid59_v9,37,15.810867837276849,3.5135261860615223,0.3499999999999999,1.2442332971715109,0.9754029866194251,0.037328049935943595,0.9811604324115156,0.03169829246520197,0.24774166731337707,0.06245258991293837,0.01898978067054632,0.4568761785517385,0.13533333333333336
L44,locked_iid59_v9,38,15.810867837276849,5.2702892790922835,0.29999999999999993,1.2684573410691313,1.0138334062272585,0.04071408914393288,0.9863012292259151,0.02411980493056696,0.24945017715529985,0.06287137736225196,0.019591123279499467,0.4400724604187037,0.13970370370370372
L44,locked_iid59_v9,39,15.810867837276849,7.027052372123044,0.24999999999999994,1.2820768696246916,1.0072856859317807,0.04862000126753177,0.9836914190563645,0.027118842526821327,0.24957827062630858,0.06281368850614344,0.019053272996697655,0.4339995446490377,0.14218518518518516
