scenario_id,design,K,mu_max,rho,arrival_scv,mean_jump_fraction,tau,qH,beta,jump_cv,cloud_cost_multiplier,deactivation_mean,lambda_H,lambda_L,mean_H,mean_L,cv_H,cv_L,cW,cB,cL,cC,policy_count,diffusion_best_idx,exhaustive_train_idx,holdout_oracle_idx,single_train_idx,selection_idx,final_idx,selection_candidate_count,certified,fallback,certificate_stage_reps,certificate_ambiguous_count,certificate_simulation_count,algorithm_simulation_count,exhaustive_simulation_count,work_reduction,holdout_regret_vs_exhaustive,holdout_regret_vs_oracle,hysteresis_gain_vs_best_single,adaptive_gain_vs_best_single,exhaustive_holdout_objective,adaptive_holdout_objective,single_holdout_objective,selected_alpha_on,selected_alpha_off,exhaustive_alpha_on,exhaustive_alpha_off,pareto_count,distinct_weight_optima,robust_idx,robust_max_additive_regret,equal_weight_idx,elapsed_seconds
L41,locked_iid59_v9,36.37944872676527,109.1383461802958,0.8498873983892747,1.0,0.0938419083457338,0.26897287877478226,0.4720710773048585,1.391709269239918,0.7445372847743357,1.320202382977922,1.5097401066349339,11.153094098028776,16.874944125018736,3.926004427048243,2.901829359122614,0.7445372847743357,0.7445372847743357,1.0,10.0,2.5,0.25,190,0,0,0,0,0,0,33,1,0,15,0,248,542,3830,0.858485639686684,0.0,0.0,-0.021412380470741652,-0.021412380470741652,1.0945653418584795,1.0945653418584795,1.0716194191361021,1.8189724363382636,1.8189724363382636,1.8189724363382636,1.8189724363382636,131,7,155,0.4922693028116362,0,21.34560751914978
L42,locked_iid59_v9,42.40384050647047,127.21152151941142,0.691652796047967,4.0,0.05159859286467482,0.3890772624031885,0.544947034559896,1.3248993327926382,1.4179083582676064,0.26681800794295213,1.790595636364353,19.055835131678126,21.528538924354255,2.5161752775207726,1.8597817268631798,1.4179083582676064,1.4179083582676064,1.0,10.0,2.5,0.25,190,0,0,0,0,1,0,33,0,1,20,1,660,954,3830,0.7509138381201044,0.0,0.0,-0.021851274065438412,-0.021851274065438412,0.6471838938100781,0.6471838938100781,0.6333445093582504,2.1201920253235236,2.1201920253235236,2.1201920253235236,2.1201920253235236,128,5,64,0.4659812986059549,0,32.39750266075134
L43,locked_iid59_v9,35.45226121380061,106.35678364140183,0.8580031269652537,4.0,0.0971313881674028,0.38484019984379647,0.7600591625219288,0.8384219297398124,0.9330170228523896,2.0267492674221157,0.8010491975669429,17.51459455234451,7.4805886575979,3.9600564471752997,2.926998243564352,0.9330170228523896,0.9330170228523896,1.0,10.0,2.5,0.25,190,0,1,0,0,1,1,35,1,0,6,0,189,499,3830,0.8697127937336815,0.0,0.005417607624415444,-0.0028144690973880486,-0.0028144690973880486,2.1512113588634794,2.1512113588634794,2.145173833400847,3.545226121380061,1.7726130606900306,3.545226121380061,1.7726130606900306,172,3,158,0.5113565632022693,0,21.658515453338623
L44,locked_iid59_v9,35.13526186061522,105.40578558184566,0.5810471260818987,1.0,0.06589933744327053,1.5172962080627115,0.7642735858459717,1.2330840791343092,0.7331390791968798,0.5377248118917519,1.4567064292207872,17.57934032057915,7.335688614134548,2.662699049136909,1.9680819058838026,0.7331390791968798,0.7331390791968798,1.0,10.0,2.5,0.25,190,0,0,0,0,1,0,32,0,1,20,2,640,926,3830,0.75822454308094,0.0,0.0,0.026325527341611872,0.026325527341611872,0.7293700963543548,0.7293700963543548,0.7490902933533649,1.7567630930307612,1.7567630930307612,1.7567630930307612,1.7567630930307612,98,7,61,0.38386395907917026,0,21.82295513153076
L45,locked_iid59_v9,66.83575657799565,200.50726973398696,0.6343540170000626,4.0,0.05983119226243752,2.5541498040315025,0.429780110407278,0.8304941315288124,0.8099043968879919,0.37740835393326067,1.013509461579664,11.887041109916671,21.337755177631262,4.598692452097061,3.3990335515500014,0.8099043968879919,0.8099043968879919,1.0,10.0,2.5,0.25,190,0,1,0,0,1,0,32,0,1,20,5,640,926,3830,0.75822454308094,0.0,0.0,-0.01640054592942999,-0.004740716020149248,0.901042663556204,0.8907061832776898,0.8865035218298324,3.3417878288997827,3.3417878288997827,6.683575657799565,3.3417878288997827,104,8,68,0.4505574349338295,0,26.70403480529785
L46,locked_iid59_v9,56.35701522481311,169.07104567443935,0.7493554814431537,1.0,0.09823948614400452,0.5573617603527201,0.5750373593775691,1.3273131266625557,1.7883114291195934,0.5348492443635127,1.938833195313126,11.442509503124226,11.440760317406552,6.3669568487398,4.706011583851157,1.7883114291195934,1.7883114291195934,1.0,10.0,2.5,0.25,190,0,1,1,0,1,1,36,1,0,10,0,235,553,3830,0.8556135770234987,0.0,0.0,-0.008912046650035848,-0.008912046650035848,0.8495821021221642,0.8495821021221642,0.8420774684404786,5.635701522481311,2.817850761240656,5.635701522481311,2.817850761240656,113,7,65,0.45278789413659387,1,17.555575132369995
L47,locked_iid59_v9,32.567733172990565,97.7031995189717,0.7178686871759712,4.0,0.05771060188275941,1.045775191309297,0.5097459403881339,0.6052238735876143,1.3632568660646058,0.8293143968361613,1.8617339292966513,16.54118414904415,21.523501952719922,2.1614290058759544,1.597577960864836,1.3632568660646058,1.3632568660646058,1.0,10.0,2.5,0.25,190,0,0,0,0,2,1,34,0,1,20,9,680,982,3830,0.743603133159269,0.0008265828554365669,0.0008265828554365669,-0.014983970249905743,-0.015822938598257254,0.49441580352316994,0.4948244791498191,0.48711685899969104,3.2567733172990563,1.6283866586495284,1.6283866586495284,1.6283866586495284,130,5,52,0.49012163639691897,0,29.81192111968994
L48,locked_iid59_v9,34.55476107091594,103.66428321274782,0.8079652479797916,4.0,0.09760028539845124,0.3661066440950522,0.39800206084183887,1.323046439325859,1.7788152708049974,1.0931036886487226,0.7395322543446929,8.595088029001248,17.588910025496787,3.878437723756191,2.866671361037185,1.7788152708049974,1.7788152708049974,1.0,10.0,2.5,0.25,190,0,0,0,0,0,0,34,1,0,10,0,242,544,3830,0.8579634464751958,0.0,0.0,-0.0005985441748996448,-0.0005985441748996448,1.1367962070516846,1.1367962070516846,1.1361161913233588,1.727738053545797,1.727738053545797,1.727738053545797,1.727738053545797,123,5,98,0.46885691360678233,0,19.768314599990845
L49,locked_iid59_v9,56.74344301070578,170.23032903211734,0.7239683476812747,1.0,0.09715455437340306,0.7488886221744551,0.34506944530258965,0.6172823920711462,1.0785253978571308,0.43934539221095054,0.4913684701121843,6.707896221882474,17.224792391086027,6.339816507215369,4.685951331420056,1.0785253978571308,1.0785253978571308,1.0,10.0,2.5,0.25,190,0,1,0,0,1,0,33,0,1,20,1,660,954,3830,0.7509138381201044,0.0,0.0,-0.012997530344327378,-0.005245177656010503,0.4121132871450238,0.4089594319244648,0.40682555958941247,2.8371721505352894,2.8371721505352894,5.674344301070578,2.8371721505352894,115,8,44,0.3891202166322046,4,19.317662715911865
L50,locked_iid59_v9,45.05952163904119,135.1785649171236,0.5544398874644938,1.0,0.05287803947667536,1.243967419402994,0.39958246717388507,0.7963687002863488,1.1811899284368752,2.2293669299920955,1.3335796030700613,10.929718091172102,22.219527356319713,2.7400580386337268,2.0252602894249288,1.1811899284368752,1.1811899284368752,1.0,10.0,2.5,0.25,190,99,133,131,15,160,119,55,0,1,20,19,1100,1570,3830,0.5900783289817233,0.018715038846643214,0.030785609503634025,-0.0005674667087900235,-0.019293125716932417,0.2050131511910101,0.2088499802796226,0.20489687903342366,33.794641229280884,33.794641229280884,36.047617311232955,31.54166514732883,108,8,33,0.3999183014760606,0,22.40656590461731
