scenario_id,policy_idx,alpha_on,alpha_off,train_score,train_score_se,train_op_cost,train_W,train_B_H,train_B_L,train_cloud_fraction,diffusion_score,diffusion_W,diffusion_B_H,diffusion_B_L,diffusion_cloud_fraction
R15H01,0,2.0,2.0,2.772182184126344,0.7026876024324381,0.6711082970748516,0.1925329570166332,0.05302728398023504,0.038465433396062974,0.6422283535223566,0.6247967802996682,0.13470860578429478,0.01921870492135794,0.015223117661562882,0.604590489432024
R15H01,1,4.0,2.0,2.985878266757959,0.6862423485599926,0.6484086106668359,0.2135218515821011,0.05907275140963105,0.04655140971017855,0.6163803329295207,0.6361795893454026,0.13848870249819797,0.020706518022834245,0.016402696505953655,0.5800803828289608
R15H01,2,4.0,4.0,5.3060971229652125,1.0270245014496275,0.5777508856351083,0.2575996887400452,0.09898539979770084,0.07828819392361576,0.5391109323241016,0.6546344575614834,0.13978601298995458,0.0213010608411083,0.01687366561811131,0.5686135135575752
R15H01,3,6.0,2.0,3.266389161808307,0.6847840962191643,0.6144701102510355,0.22122759857213461,0.058493343831375534,0.06271182886960834,0.5812859704652152,0.7022404735833425,0.14311490742996077,0.02259700418351889,0.017901950109514893,0.5509230282929038
R15H01,4,6.0,4.0,5.174325788242946,1.0442880949808167,0.5880514096310392,0.23987097296444074,0.09702624144453326,0.0697860126297756,0.5520707636863731,0.7213304598122144,0.14433549188178374,0.02320610307168072,0.01838449564685438,0.5393749824459109
R15H01,5,6.0,6.0,5.704027271301161,1.0201760658041898,0.5448616382527975,0.27252083859439497,0.10308351037678144,0.08394595676406881,0.5039835124636383,0.7300463726392774,0.14492285217872006,0.02346542811455901,0.018589940397732638,0.5350365390845189
R15H01,6,8.0,2.0,4.01579379916175,0.9403502511238687,0.6057318612914981,0.24327944400924761,0.07571144549243639,0.0683677628267875,0.5692399446901112,0.7826024474437352,0.14835181271244843,0.024812008021930457,0.01965935726923004,0.5197492744403451
R15H01,7,8.0,4.0,5.0750245906091145,1.233764618662192,0.5957077352119341,0.26226736089805,0.09758357623584701,0.06457898912330805,0.5563676310772266,0.8022877502952867,0.1494890811327964,0.025431907480210045,0.020150524730934326,0.5082690141148649
R15H01,8,8.0,6.0,4.925644370250313,1.087424668941011,0.5418875597758063,0.26761856412595103,0.09145386844312943,0.0804608913637804,0.5017447751569136,0.8115810119738243,0.15005997995721287,0.02570661370300368,0.020368183874226096,0.5037413298300584
R15H01,9,8.0,8.0,5.199104555355569,0.8032736201615325,0.5518850620242365,0.2651963244861329,0.09954081328826174,0.08021506382606981,0.5121056133513167,0.8215593613343335,0.15070854867477193,0.025979816698557628,0.020584652105060757,0.4999622441052364
