scenario_id,rho,qH,tau,policy_idx,alpha_on,alpha_off,n,viol_H,viol_L,upper_H,upper_L,certified,mean_B_H,mean_B_L,mean_W,mean_cloud_fraction,mean_op_cost,p95_B_H,p95_B_L
R15H01,0.7,0.2,0.5,38,18.0,6.0,150,141,84,0.972200022205544,0.6408652578000311,0,0.07708382398052777,0.06364740853326196,0.23593802100817232,0.43000473577350695,0.4653954389247328,0.15905263157894733,0.13248814190065122
R15H01,0.7,0.2,0.5,39,18.0,8.0,150,138,86,0.9579797352998276,0.6536474054806771,0,0.07361664234188893,0.06290743502578193,0.23657376931189375,0.434011853022321,0.469497918419105,0.15927206851119893,0.13172841770604046
R15H01,0.7,0.2,0.5,40,18.0,10.0,150,145,81,0.9890898135310887,0.6215847263116268,0,0.0775646062918946,0.06253695846367754,0.23273419429395545,0.43002481143435245,0.4649349405784458,0.1645962732919253,0.14393042575285564
R15H01,0.7,0.2,0.5,41,18.0,12.0,150,139,83,0.9628253852180945,0.6344526531092491,0,0.08382336115041691,0.06520781894085469,0.237700228706901,0.41046446463353875,0.44611949893957387,0.18896103896103875,0.1629128232869173
R15H01,0.7,0.2,0.5,42,18.0,14.0,150,139,91,0.9628253852180945,0.685347369989403,0,0.08320391483125578,0.06632969742102321,0.24019154250436203,0.4099296339711313,0.44595836534678557,0.178019801980198,0.13863387978142075
R15H01,0.7,0.2,0.5,43,18.0,16.0,150,136,94,0.9480298277055218,0.7041875847736137,0,0.07937860879382824,0.06693354250952716,0.238003839543384,0.41149686999332974,0.4471974459248374,0.175422494172494,0.13823110624315438
R15H01,0.7,0.2,0.5,44,18.0,18.0,150,141,91,0.972200022205544,0.685347369989403,0,0.08206222415432095,0.06572437676636642,0.23727717451429062,0.4155166802699629,0.45110825644710656,0.1738764044943818,0.14627765386702013
R15H01,0.7,0.2,0.5,45,20.0,2.0,150,136,71,0.9480298277055218,0.5564009801695735,0,0.0756557715383403,0.06038468620377587,0.2312467159656615,0.4505296857094142,0.48521669310426335,0.1676742532005687,0.14798245614035085
R15H01,0.7,0.2,0.5,46,20.0,4.0,150,138,84,0.9579797352998276,0.6408652578000311,0,0.07878026097578027,0.060711758562429476,0.23653393326155087,0.4406480409871603,0.47612813097639306,0.16700581395348824,0.13624260355029585
R15H01,0.7,0.2,0.5,47,20.0,6.0,150,137,88,0.9530447797605528,0.666371580410444,0,0.07990100207779947,0.06278249265198599,0.23230417095059816,0.43627285238980457,0.47111847803239415,0.1797468354430379,0.13279607398914198
