scenario_id,rho,qH,tau,method,init_index,selected_idx,alpha_on,alpha_off,n,viol_H,viol_L,upper_H,upper_L,certified,mean_B_H,mean_B_L,mean_W,mean_cloud_fraction,mean_op_cost,p95_B_H,p95_B_L
R15H01,0.7,0.2,0.5,Exhaustive-training,-1,0,2.0,2.0,150,123,60,0.8779003724223797,0.4830686918302443,0,0.05423497102926556,0.04718733157834336,0.19918471630646645,0.5480058241417418,0.5778835315877118,0.13513513513513514,0.09520654414290619
R15H01,0.7,0.2,0.5,DR-BGS,0,0,2.0,2.0,150,123,60,0.8779003724223797,0.4830686918302443,0,0.05423497102926556,0.04718733157834336,0.19918471630646645,0.5480058241417418,0.5778835315877118,0.13513513513513514,0.09520654414290619
R15H01,0.7,0.2,0.5,DR-BGS,1,0,2.0,2.0,150,123,60,0.8779003724223797,0.4830686918302443,0,0.05423497102926556,0.04718733157834336,0.19918471630646645,0.5480058241417418,0.5778835315877118,0.13513513513513514,0.09520654414290619
R15H01,0.7,0.2,0.5,DR-BGS,2,0,2.0,2.0,150,123,60,0.8779003724223797,0.4830686918302443,0,0.05423497102926556,0.04718733157834336,0.19918471630646645,0.5480058241417418,0.5778835315877118,0.13513513513513514,0.09520654414290619
R15H01,0.7,0.2,0.5,DR-BGS,3,0,2.0,2.0,150,123,60,0.8779003724223797,0.4830686918302443,0,0.05423497102926556,0.04718733157834336,0.19918471630646645,0.5480058241417418,0.5778835315877118,0.13513513513513514,0.09520654414290619
R15H01,0.7,0.2,0.5,DR-BGS,4,0,2.0,2.0,150,123,60,0.8779003724223797,0.4830686918302443,0,0.05423497102926556,0.04718733157834336,0.19918471630646645,0.5480058241417418,0.5778835315877118,0.13513513513513514,0.09520654414290619
R15H01,0.7,0.2,0.5,Guarded-GP,0,0,2.0,2.0,150,123,60,0.8779003724223797,0.4830686918302443,0,0.05423497102926556,0.04718733157834336,0.19918471630646645,0.5480058241417418,0.5778835315877118,0.13513513513513514,0.09520654414290619
R15H01,0.7,0.2,0.5,Guarded-GP,1,0,2.0,2.0,150,123,60,0.8779003724223797,0.4830686918302443,0,0.05423497102926556,0.04718733157834336,0.19918471630646645,0.5480058241417418,0.5778835315877118,0.13513513513513514,0.09520654414290619
R15H01,0.7,0.2,0.5,Guarded-GP,2,0,2.0,2.0,150,123,60,0.8779003724223797,0.4830686918302443,0,0.05423497102926556,0.04718733157834336,0.19918471630646645,0.5480058241417418,0.5778835315877118,0.13513513513513514,0.09520654414290619
R15H01,0.7,0.2,0.5,Guarded-GP,3,0,2.0,2.0,150,123,60,0.8779003724223797,0.4830686918302443,0,0.05423497102926556,0.04718733157834336,0.19918471630646645,0.5480058241417418,0.5778835315877118,0.13513513513513514,0.09520654414290619
R15H01,0.7,0.2,0.5,Guarded-GP,4,0,2.0,2.0,150,123,60,0.8779003724223797,0.4830686918302443,0,0.05423497102926556,0.04718733157834336,0.19918471630646645,0.5480058241417418,0.5778835315877118,0.13513513513513514,0.09520654414290619
