scenario_id,rho,qH,tau,method,init_index,selected_idx,alpha_on,alpha_off,confirmed,A_n,A_viol_H,A_viol_L,A_upper_H,A_upper_L,A_certified,A_mean_B_H,A_mean_B_L,A_mean_W,A_mean_cloud_fraction,A_mean_op_cost,A_p95_B_H,A_p95_B_L,B_n,B_viol_H,B_viol_L,B_upper_H,B_upper_L,B_certified,B_mean_B_H,B_mean_B_L,B_mean_W,B_mean_cloud_fraction,B_mean_op_cost,B_p95_B_H,B_p95_B_L
R15L01,0.05,0.2,0.5,Exhaustive-training,-1,28,16.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030049692783359193,0.00020099788471022832,0.004708451802214107,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03010984424065295,0.0002213267624033651,0.004737803398501307,0.0,0.0
R15L01,0.05,0.2,0.5,DR-BGS,0,35,16.0,16.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030053046943561985,0.00018010854776359737,0.004688065589297894,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030111543963717798,0.0002115402897267311,0.004728271884284401,0.0,0.0
R15L01,0.05,0.2,0.5,DR-BGS,1,35,16.0,16.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030053046943561985,0.00018010854776359737,0.004688065589297894,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030111543963717798,0.0002115402897267311,0.004728271884284401,0.0,0.0
R15L01,0.05,0.2,0.5,DR-BGS,2,35,16.0,16.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030053046943561985,0.00018010854776359737,0.004688065589297894,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030111543963717798,0.0002115402897267311,0.004728271884284401,0.0,0.0
R15L01,0.05,0.2,0.5,DR-BGS,3,35,16.0,16.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030053046943561985,0.00018010854776359737,0.004688065589297894,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030111543963717798,0.0002115402897267311,0.004728271884284401,0.0,0.0
R15L01,0.05,0.2,0.5,DR-BGS,4,35,16.0,16.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030053046943561985,0.00018010854776359737,0.004688065589297894,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030111543963717798,0.0002115402897267311,0.004728271884284401,0.0,0.0
R15L01,0.05,0.2,0.5,DR-BGS,5,35,16.0,16.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030053046943561985,0.00018010854776359737,0.004688065589297894,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030111543963717798,0.0002115402897267311,0.004728271884284401,0.0,0.0
R15L01,0.05,0.2,0.5,DR-BGS,6,35,16.0,16.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030053046943561985,0.00018010854776359737,0.004688065589297894,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030111543963717798,0.0002115402897267311,0.004728271884284401,0.0,0.0
R15L01,0.05,0.2,0.5,DR-BGS,7,35,16.0,16.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030053046943561985,0.00018010854776359737,0.004688065589297894,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030111543963717798,0.0002115402897267311,0.004728271884284401,0.0,0.0
R15L01,0.05,0.2,0.5,DR-BGS,8,35,16.0,16.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030053046943561985,0.00018010854776359737,0.004688065589297894,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030111543963717798,0.0002115402897267311,0.004728271884284401,0.0,0.0
R15L01,0.05,0.2,0.5,DR-BGS,9,35,16.0,16.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030053046943561985,0.00018010854776359737,0.004688065589297894,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030111543963717798,0.0002115402897267311,0.004728271884284401,0.0,0.0
R15L01,0.05,0.2,0.5,Guarded-GP,0,35,16.0,16.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030053046943561985,0.00018010854776359737,0.004688065589297894,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030111543963717798,0.0002115402897267311,0.004728271884284401,0.0,0.0
R15L01,0.05,0.2,0.5,Guarded-GP,1,35,16.0,16.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030053046943561985,0.00018010854776359737,0.004688065589297894,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030111543963717798,0.0002115402897267311,0.004728271884284401,0.0,0.0
R15L01,0.05,0.2,0.5,Guarded-GP,2,45,20.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030052747945759996,5.5093492405020894e-05,0.00456300568426902,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030114871603994172,3.121561791651114e-05,0.004548446358515637,0.0,0.0
