scenario_id,policy_idx,alpha_on,alpha_off,train_score,train_score_se,train_op_cost,train_W,train_B_H,train_B_L,train_cloud_fraction,diffusion_score,diffusion_W,diffusion_B_H,diffusion_B_L,diffusion_cloud_fraction
R15L01,0,2.0,2.0,0.07154343127461764,0.006090235341205023,0.07154343127461764,0.030803774534089865,0.0,0.0,0.06692286509450417,0.004355383471876626,0.025842239331721795,4.279657615353333e-08,4.277736953389531e-08,0.00047904757211835694
R15L01,1,4.0,2.0,0.04954718908096348,0.008640758531630292,0.04954718908096348,0.030928316163754258,0.0,0.0,0.04490794165640035,0.0038766680513918077,0.025842360727223197,4.279788705781551e-08,4.2797874433959037e-08,3.1394230832828675e-07
R15L01,2,4.0,4.0,0.053841871979849826,0.0105630707784317,0.053841871979849826,0.03087835258532154,0.0,0.0,0.04921011909205159,0.00387666780443941,0.025842360727385813,4.279788705854041e-08,4.27978744449685e-08,3.1369533153805906e-07
R15L01,3,6.0,2.0,0.0377543087624383,0.008289754112270262,0.0377543087624383,0.030675290323366623,0.0,0.0,0.033153015213933316,0.003876354387152227,0.025842360814913926,4.27978879215031e-08,4.2797887910737704e-08,2.649151384219849e-10
R15L01,4,6.0,4.0,0.03447128170083725,0.006791544981762579,0.03447128170083725,0.030952905181768953,0.0,0.0,0.029828345923571906,0.0038763543866991547,0.02584236081491424,4.279788792150444e-08,4.279788791075797e-08,2.6446201924662027e-10
R15L01,5,6.0,6.0,0.030006654631205856,0.0053099631957551074,0.030006654631205856,0.030852070862001302,0.0,0.0,0.025378844001905657,0.003876354386466644,0.02584236081491459,4.2797887921505286e-08,4.279788791076977e-08,2.642294560093385e-10
R15L01,6,8.0,2.0,0.014610516269663603,0.005166180971485431,0.014610516269663603,0.030944493609733597,0.0,0.0,0.009968842228203564,0.0038763541225476706,0.025842360815011345,4.279788792226163e-08,4.27978879222498e-08,2.9596906765766904e-13
R15L01,7,8.0,4.0,0.017503646301721562,0.005907328849225584,0.017503646301721562,0.030943641989918922,0.0,0.0,0.012862100003233725,0.0038763541225465947,0.025842360815011362,4.279788792226163e-08,4.279788792224985e-08,2.948906146578184e-13
R15L01,8,8.0,6.0,0.01531149247185236,0.004744770402953122,0.01531149247185236,0.030936202683493664,0.0,0.0,0.010671062069328314,0.0038763541225457277,0.025842360815011386,4.2797887922261647e-08,4.279788792224991e-08,2.940199189898943e-13
R15L01,9,8.0,8.0,0.018533773566103157,0.006487391498057998,0.018533773566103157,0.03094549591192128,0.0,0.0,0.013891949179314961,0.0038763541225451063,0.025842360815011428,4.279788792226168e-08,4.2797887922249954e-08,2.933920345298921e-13
R15L01,10,10.0,2.0,0.009808020630905858,0.002025849832158934,0.009808020630905858,0.030967567400248173,0.0,0.0,0.005162885520868632,0.0038763541222689877,0.025842360815034843,4.2797887922278634e-08,4.279788792227809e-08,1.3761772119370411e-14
R15L01,11,10.0,4.0,0.009730676000863112,0.0019439182054231067,0.009730676000863112,0.030917545866133767,0.0,0.0,0.005093044120943047,0.0038763541222686685,0.025842360815034847,4.2797887922278634e-08,4.2797887922278104e-08,1.344149323235151e-14
R15L01,12,10.0,6.0,0.010177473793044603,0.0022312064579059513,0.010177473793044603,0.03093412504209681,0.0,0.0,0.005537355036730084,0.0038763541222683415,0.025842360815034857,4.279788792227864e-08,4.2797887922278124e-08,1.3113155806723443e-14
R15L01,13,10.0,8.0,0.011046256748583403,0.002572396330567032,0.011046256748583403,0.030929073816107988,0.0,0.0,0.006406895676167204,0.0038763541222680093,0.02584236081503488,4.279788792227865e-08,4.2797887922278144e-08,1.2777007153620379e-14
R15L01,14,10.0,10.0,0.011046256748583401,0.002572396330567031,0.011046256748583401,0.030929073816107974,0.0,0.0,0.006406895676167204,0.0038763541222676715,0.02584236081503492,4.279788792227868e-08,4.2797887922278184e-08,1.2433590108790619e-14
R15L01,15,12.0,2.0,0.007973222254310823,0.0020094535657139818,0.007973222254310823,0.03095903490463864,0.0,0.0,0.0033293670186150277,0.0038763541222686443,0.025842360815034878,4.2797887922278667e-08,4.279788792227814e-08,1.3413008201966104e-14
R15L01,16,12.0,4.0,0.00865082129025761,0.0023106530735775843,0.00865082129025761,0.030946904814406203,0.0,0.0,0.004008785568096681,0.003876354122268327,0.025842360815034885,4.279788792227866e-08,4.2797887922278144e-08,1.3093948104083589e-14
R15L01,17,12.0,6.0,0.008869414693303605,0.0022923825561254455,0.008869414693303605,0.030954029197937754,0.0,0.0,0.0042263103136129425,0.0038763541222680007,0.025842360815034895,4.2797887922278667e-08,4.2797887922278164e-08,1.2766581661576722e-14
R15L01,18,12.0,8.0,0.008869414693303605,0.0022923825561254455,0.008869414693303605,0.030954029197937754,0.0,0.0,0.0042263103136129425,0.003876354122267669,0.02584236081503492,4.279788792227868e-08,4.279788792227819e-08,1.2431114776572595e-14
R15L01,19,12.0,10.0,0.009596581543168208,0.002886328678082256,0.009596581543168208,0.030958314000033474,0.0,0.0,0.0049528344431631855,0.003876354122267331,0.025842360815034954,4.2797887922278706e-08,4.279788792227823e-08,1.2087802316310804e-14
R15L01,20,12.0,12.0,0.009596581543168208,0.002886328678082256,0.009596581543168208,0.030958314000033474,0.0,0.0,0.0049528344431631855,0.0038763541222669863,0.025842360815034996,4.2797887922278746e-08,4.279788792227828e-08,1.1737236846301414e-14
R15L01,21,14.0,2.0,0.007463351708515725,0.0021051687492901787,0.007463351708515725,0.030938637786775695,0.0,0.0,0.0028225560404993703,0.003876354122268644,0.025842360815034878,4.2797887922278667e-08,4.279788792227814e-08,1.3412399720986419e-14
R15L01,22,14.0,4.0,0.007463351708515723,0.0021051687492901787,0.007463351708515723,0.030938637786775688,0.0,0.0,0.0028225560404993703,0.003876354122268326,0.025842360815034885,4.279788792227866e-08,4.2797887922278144e-08,1.3093342314539513e-14
R15L01,23,14.0,6.0,0.007463351708515723,0.0021051687492901787,0.007463351708515723,0.03093863778677569,0.0,0.0,0.0028225560404993703,0.003876354122268,0.025842360815034895,4.2797887922278667e-08,4.2797887922278164e-08,1.2765978168153686e-14
R15L01,24,14.0,8.0,0.007463351708515725,0.0021051687492901787,0.007463351708515725,0.030938637786775695,0.0,0.0,0.0028225560404993703,0.0038763541222676685,0.02584236081503492,4.2797887922278687e-08,4.2797887922278184e-08,1.2430513114569607e-14
R15L01,25,14.0,10.0,0.008379561996054307,0.0028276296357134167,0.008379561996054307,0.030950940894591966,0.0,0.0,0.003736920861865512,0.00387635412226733,0.025842360815034954,4.2797887922278706e-08,4.279788792227823e-08,1.208720152383654e-14
