method,runs,batch_A_certified,batch_B_certified,confirmed_certified,unique_scenario_policy_pairs,median_A_upper_H,median_A_upper_L,median_B_upper_H,median_B_upper_L,confirmed_fraction,exact_95pct_lower_bound
DR-BGS,60,60,60,60,2,0.0065733424620187525,0.003069346108100284,0.004634201514946463,0.003069346108100284,1.0,0.9512970866899025
Exhaustive-training,6,6,6,6,3,0.0053208411555322535,0.003069346108100284,0.004634201514946463,0.003069346108100284,1.0,0.6069622310029172
Guarded-GP,60,60,60,60,10,0.006648001702804077,0.003069346108100284,0.006007480796118043,0.003069346108100284,1.0,0.9512970866899025
