scenario_id,level_count,policy_count,candidate_count,candidate_fraction,work_reduction,selected_idx,exhaustive_idx,exact_match,holdout_regret,elapsed_seconds
F31,19,190,44,0.23157894736842105,0.7617391304347826,1,1,1,0.0,74.10019516944885
F31,31,496,63,0.12701612903225806,0.870060281312793,1,1,1,0.0,197.70604348182678
F31,51,1326,98,0.07390648567119155,0.9249309565654029,0,0,1,0.0,95.53765821456909
