scenario_id,level_count,policy_count,candidate_count,candidate_fraction,work_reduction,selected_idx,exhaustive_idx,exact_match,holdout_regret,elapsed_seconds
R24,19,190,47,0.24736842105263157,0.7460869565217392,1,1,1,0.0,38.50172019004822
R24,31,496,79,0.1592741935483871,0.8379102478231748,0,0,1,0.0,109.3089690208435
R24,51,1326,129,0.09728506787330317,0.9015817223198594,0,0,1,0.0,194.22137999534607
